0,1,2,3,4,5,6
Medium,Medium,Low,Medium,Medium,Low,5.0
Medium,Medium,Medium,High,Medium,Medium,1.0
Low,Low,High,Medium,High,Low,1.0
Medium,High,Low,Low,Medium,Low,3.0
Low,Low,High,High,High,High,5.0
Medium,High,Low,Low,High,Low,3.0
High,High,Low,Low,High,Low,1.0
Low,Medium,Medium,Medium,High,Medium,4.0
High,High,Low,Low,Medium,Low,5.0
Low,Low,Medium,Medium,Medium,Medium,1.0
Medium,Medium,Medium,High,Medium,High,5.0
High,High,Low,Medium,Medium,Low,1.0
Medium,Medium,Medium,High,Low,Medium,3.0
Low,Low,High,High,Low,Medium,5.0
Low,Low,High,High,Low,High,4.0
Medium,Medium,Medium,Medium,Medium,Low,5.0
Medium,Medium,Medium,High,High,Medium,5.0
Medium,Medium,Medium,Low,Low,Low,1.0
Low,Low,Medium,High,Medium,High,3.0
Medium,High,Low,Medium,Low,Medium,1.0
Medium,Medium,Medium,Low,Medium,Low,1.0
High,High,Low,Medium,Low,Low,5.0
Medium,Medium,Medium,Medium,High,Medium,4.0
Low,Medium,Medium,Medium,Medium,Medium,1.0
Low,Low,Medium,Low,High,Low,3.0
Low,Low,High,High,High,Medium,5.0
Medium,High,Low,Low,Low,Low,3.0
Low,Medium,Medium,High,Medium,Medium,3.0
Low,Medium,Medium,Medium,Low,Medium,4.0
Low,Low,High,Medium,High,Medium,1.0
Low,Low,Medium,Medium,High,Medium,2.0
Medium,Medium,Low,Low,High,Low,3.0
Low,Low,Medium,High,Low,Medium,1.0
Medium,Medium,Low,Low,Medium,Low,4.0
Low,Medium,Medium,High,High,Medium,5.0
High,High,Medium,Low,Medium,Low,3.0
Medium,High,Medium,Low,High,Low,1.0
Low,Low,Medium,Medium,High,Low,3.0
Medium,Medium,Medium,Medium,Low,Medium,5.0
Low,Low,High,High,Medium,High,5.0
Low,Low,High,High,Medium,Medium,3.0
High,High,Low,Low,Low,Low,1.0
Low,Medium,Medium,Low,High,Low,1.0
Medium,Medium,Medium,Medium,Low,Low,4.0
Low,Low,Medium,Medium,Medium,Low,4.0
Low,Low,High,Low,High,Low,1.0
Low,Medium,Medium,Low,Medium,Low,2.0
Medium,Medium,Medium,Medium,Medium,Medium,5.0
Low,Low,Medium,High,Medium,Medium,3.0
Low,Medium,Medium,Medium,High,Low,3.0
Medium,Medium,Medium,Medium,High,Low,1.0
Medium,Medium,Low,Medium,Low,Medium,5.0
Medium,High,Medium,Medium,Low,Medium,5.0
Low,Medium,Medium,High,Low,Medium,5.0
Low,Medium,Medium,Medium,Medium,Low,4.0
Low,Low,High,Medium,Medium,Medium,3.0
Medium,Medium,Medium,Low,High,Low,4.0
