,'Contrast Feature','Dissimilarity Feature','Homogeneity Feature','Energy Feature','Correlation Feature','ASM Feature','Mean Feature','Variance Feature','Standard Deviation Feature','RMS Feature',diagnostic
1565,0.072326,0.193336,0.746089,0.197342,0.978062,0.086891,0.011367,9.1e-05,0.008569,0.174033,3
24,0.030497,0.085368,0.88681,0.300718,0.970879,0.153988,0.018825,0.000276,0.015654,0.316728,1
813,0.342025,0.45031,0.513997,0.116016,0.886686,0.044342,0.004961,1.6e-05,0.003092,0.063392,1
859,0.046334,0.116097,0.849607,0.370083,0.940764,0.207468,0.038939,0.001826,0.041775,0.361629,5
1987,0.04143,0.11636,0.845616,0.542965,0.922873,0.370022,0.032132,0.00214,0.045309,0.325165,5
1566,0.167258,0.356222,0.556899,0.225684,0.77991,0.103992,0.009368,8.4e-05,0.008217,0.165844,1
2212,0.268441,0.453405,0.472813,0.233177,0.630791,0.109591,0.048107,0.001601,0.039055,0.412033,3
827,0.029032,0.082675,0.890009,0.387711,0.937536,0.222098,0.244794,0.04113,0.201999,0.676056,1
2150,0.039921,0.111735,0.851854,0.288147,0.960034,0.145021,0.015423,0.000237,0.014416,0.290468,3
467,0.05464,0.147525,0.805819,0.274145,0.942029,0.135284,0.011033,0.000123,0.010124,0.204049,1
1833,0.047285,0.131588,0.825735,0.520676,0.764403,0.34669,0.0075,0.000114,0.009715,0.194153,3
1361,0.107439,0.237973,0.69948,0.251316,0.894581,0.120125,0.01703,0.000242,0.014603,0.295102,3
57,0.263099,0.42842,0.507165,0.258888,0.623113,0.125135,0.019531,0.000363,0.018087,0.26866,1
1130,0.036236,0.100764,0.866576,0.416036,0.905557,0.24665,0.032132,0.001476,0.037455,0.363501,3
872,0.035045,0.097344,0.871136,0.274553,0.974342,0.135535,0.049724,0.002285,0.046843,0.422955,1
6,0.25168,0.48401,0.416292,0.303744,0.410222,0.156493,0.012482,0.000194,0.012978,0.195676,1
1782,0.033105,0.089681,0.881714,0.308803,0.964517,0.159865,0.039984,0.001532,0.03818,0.440208,5
80,0.0288,0.082018,0.890881,0.546567,0.854464,0.373738,0.268521,0.107112,0.326598,0.561623,3
42,0.120161,0.302048,0.608615,0.334759,0.89347,0.179618,0.007059,6.5e-05,0.007094,0.14253,5
798,0.022745,0.064961,0.913526,0.590669,0.926869,0.422067,0.022504,0.000608,0.023691,0.36597,5
2257,0.339011,0.520546,0.414529,0.102951,0.825503,0.038529,0.028481,0.000319,0.016906,0.348324,3
766,0.025977,0.066319,0.913746,0.853599,0.968577,0.766467,0.031046,0.003544,0.05859,0.248899,5
1442,0.049254,0.130898,0.828269,0.42014,0.871369,0.250315,0.10567,0.015095,0.121978,0.493642,2
686,0.048164,0.133989,0.822556,0.195534,0.980089,0.085684,0.262627,0.037299,0.192313,0.789677,5
378,0.039483,0.098424,0.872336,0.441489,0.915027,0.26951,0.062484,0.005764,0.074988,0.372241,2
721,0.011274,0.032786,0.956204,0.529502,0.984305,0.355727,0.143083,0.021907,0.147149,0.53547,5
1944,0.051196,0.13874,0.817253,0.385911,0.896785,0.220616,0.044771,0.002522,0.049271,0.348309,1
130,0.017859,0.051,0.932112,0.564842,0.882763,0.393417,0.131898,0.027463,0.164875,0.412565,2
824,0.056708,0.154786,0.795791,0.396296,0.837454,0.229498,0.036488,0.001558,0.038504,0.387306,1
1317,0.116664,0.23521,0.711608,0.49809,0.577998,0.323865,0.013704,0.00039,0.01879,0.224622,1
1552,0.253627,0.438197,0.485414,0.146883,0.826549,0.059511,0.158925,0.010588,0.101991,0.737008,4
2213,0.083032,0.217723,0.71522,0.174503,0.956474,0.073966,0.032132,0.000546,0.022394,0.430787,3
1271,0.050385,0.141556,0.812175,0.271266,0.950182,0.133343,0.049323,0.001123,0.032547,0.532577,2
1653,0.041789,0.116968,0.844917,0.261667,0.970358,0.126851,0.269738,0.053633,0.230811,0.714686,3
2223,0.016237,0.046202,0.938541,0.42232,0.959266,0.252123,0.08732,0.009225,0.095136,0.382771,1
1344,0.061637,0.160432,0.7905,0.351286,0.901146,0.192446,0.126842,0.009831,0.098243,0.575886,1
