0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,0.9459271124695027,1.0
3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.9720618200100588,3.0
1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,0.9390436186320447,3.0
3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9947102771577305,1.0
3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.998935610034267,1.0
3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,2.0,1.0,2.0,5.0,4.0,0.9632848070102101,4.0
2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,0.9459271124695027,3.0
2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,0.8807437145316916,4.0
2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,0.9926702807523722,3.0
2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,4.0,0.9902512334609104,4.0
2.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,5.0,1.0,2.0,1.0,2.0,3.0,1.0,0.9727692110184714,1.0
1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,5.0,3.0,1.0,1.0,1.0,2.0,5.0,0.8833940684050157,5.0
3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,2.0,2.0,1.0,2.0,5.0,3.0,0.8973488812396156,3.0
3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,3.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,0.946893214694998,4.0
1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,5.0,3.0,2.0,1.0,2.0,3.0,2.0,0.8961254314598156,2.0
3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998935610034267,1.0
2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,0.9583130639228555,4.0
2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,1.0,0.9410263768133874,1.0
3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,0.9902512334609104,4.0
3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,5.0,3.0,0.9837143697965826,3.0
3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8279124501665179,1.0
3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,0.9977764313542207,3.0
3.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,5.0,1.0,2.0,1.0,2.0,5.0,2.0,0.8973488812396156,2.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,3.0,4.0,3.0,4.0,4.0,0.9199183281227014,4.0
2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,2.0,2.0,1.0,2.0,3.0,3.0,0.9624702312399267,3.0
3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,5.0,2.0,3.0,4.0,3.0,4.0,2.0,0.9873076700082396,2.0
2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,5.0,2.0,2.0,1.0,2.0,3.0,1.0,0.8807437145316916,1.0
1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0,0.9902512334609104,5.0
1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,3.0,2.0,1.0,3.0,5.0,3.0,0.9774135184265936,3.0
2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,4.0,5.0,3.0,1.0,1.0,2.0,2.0,1.0,0.9761436516150521,1.0
3.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9837143697965826,1.0
1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,0.8441877060522822,1.0
2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.9210707291462235,1.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,5.0,1.0,3.0,1.0,2.0,4.0,3.0,0.8973488812396156,3.0
2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,4.0,3.0,0.9048754317522508,3.0
3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,0.9837143697965826,1.0
