0,1,2,3,4,5,6,7,8,9,10,11,12
2.0,3.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,0.9993994168386419,3.0
1.0,1.0,5.0,1.0,5.0,1.0,2.0,1.0,1.0,4.0,1.0,0.999889889886085,1.0
1.0,2.0,4.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,0.9999484056506053,3.0
3.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,3.0,0.9996506718599619,3.0
1.0,1.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,0.9999025024769282,3.0
1.0,2.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9994468345139111,1.0
2.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,4.0,0.9997594929046758,4.0
1.0,1.0,5.0,3.0,5.0,3.0,4.0,2.0,4.0,5.0,1.0,0.9998275299769234,1.0
1.0,1.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,0.999800702312944,3.0
1.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,0.9997953211822114,3.0
1.0,1.0,4.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0,0.9997009922282367,5.0
2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.9987530314509709,3.0
1.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,0.9998633179579595,4.0
1.0,1.0,5.0,5.0,5.0,4.0,2.0,1.0,2.0,2.0,4.0,0.9988733699302141,4.0
1.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,0.9998948307978028,1.0
1.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,0.999841148100451,3.0
1.0,1.0,5.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,0.999870630069086,3.0
1.0,2.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,3.0,3.0,0.99975208459462,3.0
1.0,1.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,0.9998841621697185,5.0
1.0,1.0,5.0,4.0,5.0,4.0,1.0,1.0,1.0,3.0,5.0,0.9998903291597208,5.0
