0,1,2,3,4,5,6,7,8,9,10,11
2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.8936089081557161,3.0
3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,6.0,0.9418968372558121,6.0
3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.6539555096344766,2.0
2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.9375671912170733,3.0
1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.8221023364604433,1.0
3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,0.8181669081702161,4.0
1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.6836056787619131,3.0
2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.9707103792133102,2.0
2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,0.9542529564500398,5.0
2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,0.9828119856694546,6.0
1.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,0.998377495194524,1.0
2.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.9873587040020677,3.0
1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.9889037968906039,3.0
3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,0.9852184122802793,4.0
3.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,0.8993219918739219,1.0
3.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,0.8743111611341435,2.0
2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,0.9046755693214148,4.0
2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,0.9396391032213202,5.0
2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.8404752663225897,3.0
1.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,0.9837951273144522,5.0
2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.9555798698748034,3.0
2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.8936089081557161,3.0
2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.9891162340946649,3.0
3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.9919447800442799,1.0
1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.9924466478098415,1.0
3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.874055945253606,2.0
3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,0.9418968372558121,1.0
3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.9919447800442799,2.0
