0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,0.9937112297972195,4.0
1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,0.9574485354476605,1.0
1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,0.9329338631400403,1.0
1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,5.0,0.8880892179012893,5.0
1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.9069482934621397,2.0
2.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.9037408861928992,1.0
1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.9418165507709281,3.0
1.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,0.9827158201293321,3.0
1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,0.993150841609433,3.0
2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,0.7625161135418169,1.0
1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.9912876793734665,3.0
