0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Low,Low,Low,Very Low,High,Low,Low,High,Low,High,High,Low,High,Low,Low,High,Low,Low,Low,Low,Low,Low,3.0
Low,Low,Medium,Medium,High,High,High,Low,High,High,High,Low,Medium,Low,Low,High,Medium,Low,Medium,Low,High,High,1.0
Low,Low,High,Low,Medium,Low,Low,High,High,High,High,Low,Very Low,Medium,High,High,High,Low,High,High,High,High,1.0
High,Low,Very Low,Very Low,Medium,High,Low,Low,Low,Low,Low,Medium,Very Low,Low,Low,High,High,Low,High,High,High,High,1.0
High,Low,Very High,Very High,High,Low,Low,Low,Low,High,Low,Low,High,Medium,High,High,Low,Low,Low,Low,Low,High,1.0
High,Low,Very Low,Very Low,Medium,Low,High,High,Low,High,High,Low,Low,Medium,High,High,Low,High,Low,High,High,High,3.0
Low,Low,Low,Low,Medium,Low,Low,Low,High,High,High,Low,Very High,Low,Medium,Low,Low,High,Low,Low,Low,Low,3.0
Low,Low,Very Low,Very Low,Medium,Low,Low,Low,Low,High,High,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,High,High,1.0
Low,Low,Low,Low,High,Low,Low,Low,High,High,High,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,Low,4.0
Low,Low,Low,Low,High,Low,Low,High,High,High,High,Medium,Very Low,Low,Medium,High,High,Low,High,High,High,High,1.0
Low,High,Low,Low,Medium,High,High,High,High,High,High,Medium,Medium,Low,Medium,High,Low,High,Low,High,High,High,1.0
Low,Low,Low,Low,Medium,Low,Low,Low,High,High,High,Low,High,Low,Medium,High,Low,Low,Low,High,High,Low,3.0
Low,Low,Low,Low,Medium,Low,Low,Low,High,High,High,Low,High,Low,Medium,Low,Low,Low,Low,Low,High,Low,5.0
Low,Low,Low,Low,High,Low,Low,Low,High,High,High,Low,Medium,Low,Low,High,High,Low,High,Low,High,High,1.0
Low,Low,Very Low,Very Low,High,High,High,Low,High,High,Low,Medium,Low,Low,Low,High,Medium,Low,Low,High,High,High,1.0
Low,Low,Very Low,Very Low,High,High,High,Low,Low,High,High,Low,Very Low,Low,Low,Low,Low,Low,Low,Low,Low,High,3.0
High,Low,Medium,Medium,Medium,Low,High,High,High,High,High,Medium,Very High,Low,Medium,High,High,Low,High,Low,High,High,1.0
Low,Low,Low,Low,High,Low,Low,Low,High,High,High,Low,Very Low,Low,Medium,High,Medium,High,Low,High,High,High,1.0
Low,Low,Very Low,Very Low,High,Low,Low,Low,High,High,High,Low,Very High,Medium,High,High,High,High,High,High,High,High,1.0
High,High,Medium,Low,High,High,High,Low,High,High,High,Medium,Medium,Medium,Medium,High,High,Low,High,Low,High,High,1.0
Low,Low,High,Very High,Medium,High,Low,High,High,High,High,Medium,Very Low,Low,Medium,Low,High,Low,High,Low,Low,High,6.0
Low,Low,Low,Low,High,Low,Low,Low,High,High,High,Low,Very High,Low,Medium,Low,Low,Low,Low,Low,High,Low,4.0
Low,Low,Very Low,Very Low,High,Low,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,High,Medium,High,Low,High,High,High,1.0
Low,Low,Low,Low,High,Low,Low,High,High,High,High,Low,Low,Low,Low,High,Low,High,Low,High,High,High,3.0
Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Medium,Low,Medium,Low,Low,Low,Medium,Low,Low,Low,5.0
Low,Low,Low,Low,Medium,Low,Low,Low,High,High,High,Low,Very High,Low,Medium,Low,Medium,Low,Low,Low,High,Low,5.0
Low,High,Very Low,Very Low,High,Low,High,High,Low,Low,Low,Low,High,Low,Low,High,Medium,Low,Low,High,High,High,1.0
