0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,0.6949192746790508,1.0
1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,5.0,0.9833433622006208,5.0
1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,5.0,2.0,3.0,2.0,3.0,4.0,1.0,0.9554012633472132,1.0
1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9709069372376594,1.0
1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,5.0,1.0,2.0,1.0,2.0,4.0,1.0,0.974983053941862,1.0
1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,3.0,0.9155188324990753,3.0
1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,0.9335241251092665,1.0
1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,5.0,3.0,3.0,1.0,3.0,4.0,5.0,0.954793179031086,5.0
1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,4.0,2.0,3.0,5.0,3.0,0.951772851384574,3.0
1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,3.0,0.974983053941862,3.0
1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,5.0,0.7606151158439,5.0
1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,5.0,0.9406717774030339,5.0
1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,5.0,0.9115780685140243,5.0
