0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Low,Low,Low,High,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,Low,High,Low,Low,High,Very Low,Very Low,Very High,Medium,Very High,Medium,6.0
High,Low,Low,Low,Medium,High,High,Low,High,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,High,Very Low,Low,High,Low,Very High,Very Low,3.0
Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Medium,Medium,Medium,3.0
Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Very High,Low,3.0
Low,Low,Low,Low,Medium,Low,Low,Low,High,High,High,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,Low,Medium,Low,3.0
Low,High,Low,Low,Medium,High,Low,High,Low,Low,High,Medium,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,High,Very Low,Low,High,Medium,Medium,Medium,2.0
Low,Low,Low,Low,High,High,High,High,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low,High,Medium,High,Medium,Very Low,High,Very Low,2.0
High,High,Low,Low,Medium,High,High,Low,High,Low,Low,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,High,Low,Medium,Medium,Low,High,Very Low,1.0
Low,Low,Medium,Medium,High,Low,High,Low,Low,High,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,High,Very Low,Very Low,Very High,Low,Very High,Low,1.0
Low,Low,Low,Low,High,Low,Low,Low,High,High,High,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Very Low,Low,High,Very Low,Very High,Very Low,3.0
Low,Low,Low,Low,High,High,High,Low,High,Low,Low,Low,Medium,Medium,Medium,Low,Medium,Low,Low,Low,Low,High,Very Low,Low,High,Medium,High,Low,1.0
Low,Low,High,High,High,Low,Low,Low,High,Low,Low,Medium,Medium,Low,Low,Low,Medium,Low,Low,Low,Low,High,Low,Medium,Medium,Low,High,Very Low,3.0
Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,High,Very High,Low,Very Low,Low,Very Low,5.0
Low,Low,Medium,Medium,Medium,High,Low,Low,Low,High,Low,High,Low,Medium,Low,Low,Medium,Low,Low,Low,Low,High,Low,Low,High,Very Low,Very High,Very Low,1.0
Low,High,Low,Low,Medium,High,High,Low,Low,High,High,Low,Medium,Low,Medium,Low,High,Low,High,Low,Low,High,Low,Low,High,Very Low,Very High,Very Low,1.0
Low,Low,Low,Low,Medium,High,High,Low,High,Low,Low,Low,Medium,Low,High,Low,Medium,Low,Medium,Low,Low,High,Low,Low,High,Low,Very High,Very Low,1.0
Low,Low,Low,Low,High,Low,Low,Low,High,High,High,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Medium,Very High,Low,4.0
Low,Low,Low,Low,Low,Low,High,Low,High,High,High,Low,Medium,Low,Medium,Low,High,Low,High,Low,Low,High,Medium,High,Low,Very Low,Medium,Very Low,1.0
Low,Low,Low,Low,High,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Medium,Low,Low,Low,Low,High,High,Very High,Low,Very Low,High,Very Low,1.0
High,Low,High,High,High,High,High,Low,Low,High,High,Medium,Medium,Medium,Medium,Low,Medium,Low,Low,Low,Low,High,Low,Medium,Medium,Low,High,Very Low,1.0
Low,Low,Low,Low,High,Low,Low,High,Low,High,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,High,Low,Medium,High,Low,High,Very Low,3.0
Low,Low,Low,Low,Low,Low,High,Low,Low,High,High,Medium,High,Low,Medium,Low,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Very High,Medium,Very High,Medium,5.0
High,High,Medium,Medium,Medium,High,High,Low,Low,High,High,Low,Medium,Medium,High,Low,Low,Low,Low,Low,Low,High,Medium,High,Medium,Very Low,High,Very Low,1.0
