'Contrast Feature','Dissimilarity Feature','Homogeneity Feature','Energy Feature','Correlation Feature','ASM Feature',diagnostic
High,High,High,High,High,Low,5
Low,Low,Low,Low,Low,High,1
Low,Low,Low,High,Low,Low,1
Low,Low,Medium,High,Low,Low,3
Low,Medium,Medium,High,Low,Low,3
Low,Low,Medium,High,Low,Low,1
Low,Low,Low,Medium,Low,Medium,1
Low,Low,Low,High,Low,Low,3
High,Medium,Medium,Medium,Medium,High,4
High,Medium,Medium,High,High,Low,1
Low,Medium,Medium,Medium,Medium,High,4
Low,Low,Low,Low,High,High,1
Low,Low,Low,Low,Low,Low,4
Low,Medium,Medium,Low,High,Low,3
Low,Low,Low,Low,Low,Low,3
Low,Low,Low,Low,Low,Low,1
Low,Low,Low,Low,Low,High,2
Low,Low,Low,Medium,Low,High,6
High,High,High,High,Medium,Low,1
Low,Low,Low,Low,Low,High,3
Low,Low,Low,Medium,Low,High,2
Low,Low,Medium,High,Low,Low,1
Low,Low,Low,Medium,Low,Medium,1
Low,Low,Low,Medium,High,Medium,3
Low,Low,Low,Low,Low,High,1
High,Medium,Medium,Low,High,Low,1
Low,Low,Low,Low,Low,Low,6
Low,Low,Low,High,Low,Low,4
High,High,High,High,High,Low,1
Low,Low,Low,High,Low,Low,3
Low,Medium,Medium,Medium,High,High,5
High,Medium,Medium,High,High,Low,5
High,Medium,High,High,High,Low,1
Low,Low,Low,Low,Low,High,3
Low,Low,Low,Low,Low,High,6
Low,Low,Low,High,Low,Low,1
Low,Low,Low,High,Low,Low,3
Low,Low,Low,High,Low,Low,3
Low,Low,Low,High,Low,Low,3
Low,Medium,Medium,High,Low,Low,1
Low,Low,Low,Low,Low,High,3
Low,Low,Low,Low,Low,Low,3
Low,Medium,Medium,High,Low,Low,1
Low,Low,Low,Medium,High,Medium,3
Low,Low,Low,High,Low,Low,1
Low,Low,Low,Low,Low,Low,1
Low,Low,Low,Low,Low,High,5
Low,Medium,Medium,High,Low,Low,1
