0,1,2,3,4,5,6,7,8
3.0,4.0,2.0,2.0,3.0,1.0,5.0,0.9799292114953283,5.0
1.0,1.0,5.0,3.0,5.0,3.0,1.0,0.9821411552151613,1.0
1.0,2.0,4.0,2.0,5.0,1.0,1.0,0.9787923930022809,1.0
2.0,2.0,4.0,1.0,5.0,1.0,3.0,0.9776719243208193,3.0
2.0,2.0,4.0,1.0,5.0,1.0,3.0,0.98483283293887,3.0
2.0,2.0,4.0,1.0,5.0,1.0,1.0,0.9900298811294677,1.0
1.0,1.0,5.0,5.0,4.0,5.0,1.0,0.9765231501917789,1.0
2.0,2.0,4.0,2.0,5.0,1.0,3.0,0.98128422842112,3.0
2.0,3.0,3.0,4.0,2.0,3.0,4.0,0.9771555173557563,4.0
3.0,3.0,3.0,2.0,4.0,1.0,1.0,0.9784861046835593,1.0
2.0,2.0,4.0,4.0,3.0,3.0,4.0,0.9733900819477884,4.0
1.0,2.0,5.0,3.0,4.0,3.0,1.0,0.9793069151860029,1.0
1.0,1.0,5.0,2.0,5.0,2.0,4.0,0.989258863676026,4.0
2.0,3.0,4.0,2.0,4.0,2.0,3.0,0.9792666793347787,3.0
1.0,2.0,4.0,2.0,5.0,2.0,3.0,0.9824128635669817,3.0
1.0,1.0,5.0,2.0,5.0,2.0,1.0,0.9835509704624699,1.0
1.0,1.0,5.0,3.0,5.0,2.0,2.0,0.977896012571075,2.0
1.0,1.0,5.0,4.0,5.0,3.0,6.0,0.9806514636577477,6.0
3.0,4.0,2.0,2.0,2.0,1.0,1.0,0.9657974914876704,1.0
1.0,1.0,5.0,3.0,5.0,2.0,3.0,0.9791999196277498,3.0
1.0,1.0,5.0,3.0,5.0,3.0,2.0,0.9743097563339993,2.0
2.0,2.0,4.0,1.0,5.0,1.0,1.0,0.9909415980178565,1.0
1.0,1.0,5.0,4.0,4.0,3.0,1.0,0.9749440951444098,1.0
1.0,1.0,5.0,4.0,3.0,4.0,3.0,0.9754162864244665,3.0
1.0,2.0,4.0,3.0,5.0,2.0,1.0,0.9777274603027538,1.0
2.0,3.0,3.0,2.0,3.0,2.0,1.0,0.9769601954746707,1.0
1.0,1.0,5.0,2.0,5.0,2.0,6.0,0.9893281740083213,6.0
1.0,1.0,5.0,1.0,5.0,1.0,4.0,0.9800547449100165,4.0
3.0,4.0,2.0,2.0,3.0,1.0,1.0,0.9770165654127042,1.0
1.0,1.0,5.0,2.0,5.0,1.0,3.0,0.9746234443688346,3.0
2.0,2.0,4.0,4.0,3.0,3.0,5.0,0.982993459061696,5.0
3.0,3.0,3.0,2.0,3.0,1.0,5.0,0.9692927317270135,5.0
3.0,4.0,3.0,1.0,4.0,1.0,1.0,0.9661260064899027,1.0
1.0,1.0,5.0,3.0,5.0,3.0,3.0,0.9856684529941774,3.0
1.0,1.0,5.0,3.0,5.0,3.0,6.0,0.9831114998672946,6.0
1.0,1.0,5.0,2.0,5.0,1.0,1.0,0.9820210513733277,1.0
1.0,1.0,5.0,1.0,5.0,1.0,3.0,0.9838968946136687,3.0
1.0,1.0,5.0,2.0,5.0,1.0,3.0,0.9811241399544911,3.0
1.0,2.0,5.0,2.0,5.0,2.0,3.0,0.9786293925644199,3.0
2.0,2.0,4.0,2.0,5.0,1.0,1.0,0.9841412572080047,1.0
1.0,1.0,5.0,3.0,5.0,2.0,3.0,0.9813091178912404,3.0
1.0,2.0,4.0,2.0,5.0,2.0,3.0,0.9847653460265137,3.0
2.0,2.0,4.0,1.0,5.0,1.0,1.0,0.979590295074726,1.0
1.0,1.0,5.0,4.0,4.0,4.0,3.0,0.9850200794605765,3.0
1.0,1.0,5.0,1.0,5.0,1.0,1.0,0.9806024622640279,1.0
1.0,1.0,5.0,2.0,5.0,2.0,1.0,0.9862225802645681,1.0
1.0,2.0,5.0,3.0,5.0,2.0,5.0,0.977955050618804,5.0
2.0,3.0,3.0,1.0,5.0,1.0,1.0,0.9762703370070366,1.0
2.0,2.0,4.0,1.0,5.0,1.0,1.0,0.9827668369899097,1.0
1.0,1.0,5.0,2.0,5.0,1.0,3.0,0.9764669723143298,3.0
2.0,2.0,4.0,1.0,5.0,1.0,3.0,0.9840682125988276,3.0
2.0,2.0,4.0,1.0,5.0,1.0,3.0,0.9765890644426989,3.0
1.0,2.0,4.0,1.0,5.0,1.0,1.0,0.9885719465412981,1.0
1.0,1.0,5.0,2.0,5.0,2.0,3.0,0.9851009671851411,3.0
2.0,3.0,4.0,1.0,5.0,1.0,2.0,0.977621267253792,2.0
1.0,2.0,4.0,2.0,4.0,2.0,5.0,0.9808573424337464,5.0
2.0,2.0,4.0,1.0,5.0,1.0,3.0,0.9845314456433232,3.0
