'Contrast Feature','Dissimilarity Feature','Homogeneity Feature','Energy Feature','Correlation Feature','ASM Feature',diagnostic
0.151822,0.149374,0.925556,0.388357,0.960681,0.150869,1
0.106224,0.106186,0.946911,0.50475,0.951213,0.254835,1
0.126569,0.120258,0.940479,0.472265,0.945414,0.223084,1
0.14159,0.137436,0.931692,0.39354,0.963514,0.154905,2
0.126689,0.125201,0.937547,0.334882,0.985153,0.112177,1
0.109886,0.105096,0.947888,0.461976,0.968251,0.213461,1
0.151279,0.149755,0.925275,0.458378,0.937267,0.210226,1
0.794796,0.479258,0.788865,0.269973,0.877363,0.073013,1
0.166062,0.150826,0.926076,0.295976,0.985222,0.08764,3
0.109748,0.109611,0.945208,0.414763,0.969185,0.172079,4
0.186393,0.156179,0.924572,0.505449,0.881911,0.255549,1
0.148217,0.141783,0.92973,0.590609,0.852453,0.348914,1
0.246747,0.230967,0.88609,0.369168,0.935931,0.136357,1
0.115884,0.112757,0.943933,0.342019,0.985005,0.117012,3
0.702137,0.512862,0.761868,0.232705,0.918988,0.054343,1
0.343043,0.250472,0.883404,0.407067,0.88928,0.165839,3
0.256241,0.25037,0.875402,0.369372,0.930952,0.136562,1
0.393518,0.357486,0.824856,0.326856,0.892349,0.10702,2
0.807829,0.482764,0.788433,0.307859,0.844784,0.094898,1
0.16945,0.167466,0.916465,0.508965,0.971126,0.259145,5
0.755222,0.448365,0.802913,0.278405,0.897268,0.077821,3
0.19519,0.192565,0.903978,0.3943,0.942271,0.155582,3
0.119989,0.119769,0.940137,0.324284,0.989947,0.105176,4
0.355319,0.307683,0.850819,0.29823,0.947354,0.089093,4
0.060665,0.060664,0.969668,0.444896,0.983228,0.197952,1
0.207493,0.193768,0.904477,0.392514,0.948541,0.154193,1
0.259844,0.201959,0.90396,0.374578,0.950649,0.140371,1
0.149482,0.149313,0.925361,0.375114,0.979906,0.140732,2
0.15001,0.145109,0.927929,0.329482,0.981304,0.108607,1
0.209872,0.206211,0.897257,0.348675,0.962917,0.121625,3
0.12752,0.123965,0.938358,0.353742,0.977952,0.12518,1
0.129717,0.127899,0.936232,0.298266,0.990598,0.088985,1
0.180981,0.173258,0.914132,0.411887,0.950047,0.169765,1
0.187919,0.177614,0.912167,0.356328,0.963305,0.127005,2
0.4297,0.358164,0.828011,0.243442,0.963577,0.059493,1
0.164506,0.125747,0.940552,0.421009,0.969356,0.177292,2
0.24359,0.231963,0.885176,0.391758,0.914255,0.153626,3
0.152131,0.14983,0.925313,0.411816,0.953601,0.169617,3
0.177796,0.167721,0.917137,0.356975,0.971303,0.12747,2
0.112236,0.112202,0.943903,0.361402,0.98779,0.130631,1
0.110883,0.110689,0.944675,0.465057,0.970424,0.216328,1
0.133094,0.128398,0.93625,0.293802,0.989926,0.086346,3
0.976025,0.616124,0.726495,0.298318,0.735344,0.089233,1
0.341805,0.297441,0.855406,0.492729,0.88819,0.242958,1
0.26242,0.24199,0.881009,0.32537,0.953666,0.10594,2
0.123909,0.121727,0.939351,0.331743,0.995578,0.110068,1
0.139644,0.139069,0.930522,0.315393,0.988004,0.099485,1
0.543576,0.352142,0.842114,0.403556,0.859213,0.162956,2
0.200403,0.178239,0.912912,0.315641,0.974365,0.099678,1
0.113969,0.112203,0.944071,0.475804,0.955079,0.226416,3
0.623509,0.312775,0.869121,0.358414,0.901463,0.128506,1
0.178914,0.151039,0.927088,0.499987,0.899509,0.250055,1
0.640481,0.351719,0.850104,0.40016,0.830983,0.160214,1
0.691552,0.429227,0.809461,0.309543,0.875511,0.096035,1
0.096299,0.096298,0.951851,0.542784,0.945507,0.294639,1
0.29013,0.276171,0.863307,0.32664,0.936622,0.106905,1
0.593655,0.367615,0.837134,0.322789,0.8956,0.104272,2
0.29776,0.280739,0.861319,0.318695,0.937767,0.101717,1
0.578701,0.430175,0.799308,0.2582,0.948679,0.066811,2
0.16186,0.160949,0.919615,0.266555,0.990456,0.071083,1
0.22015,0.168625,0.920692,0.412003,0.959537,0.169808,1
0.106656,0.105232,0.947526,0.394132,0.974512,0.155372,2
0.063154,0.062639,0.968732,0.538439,0.989892,0.289935,5
0.313821,0.280598,0.862871,0.424012,0.842539,0.18007,3
0.539061,0.39094,0.818894,0.362524,0.824296,0.131617,3
0.122601,0.122235,0.938919,0.486549,0.930428,0.236789,1
0.113834,0.106987,0.947131,0.368603,0.986066,0.135886,5
0.164532,0.162962,0.918676,0.416468,0.943189,0.173514,1
0.165717,0.141867,0.93129,0.515592,0.900991,0.265956,3
