age,region,itch,grew,hurt,changed,bleed,elevation,biopsed,diagnostic
8,10,0,0,0,0,0,0,0,5
55,6,1,1,0,1,1,1,1,1
77,1,1,0,0,0,0,0,0,3
75,12,1,0,0,0,0,0,0,3
79,11,1,1,0,0,1,1,1,1
53,7,1,0,0,0,0,1,0,4
52,1,0,1,0,1,1,1,1,1
74,1,1,1,1,0,1,1,1,1
68,11,1,0,0,1,0,0,0,3
58,11,0,1,0,0,0,0,0,3
45,6,1,0,0,0,0,1,0,3
34,3,1,2,0,2,1,1,1,1
9,7,0,0,0,0,0,0,0,5
78,7,1,1,1,1,1,1,1,1
52,13,1,0,0,0,0,0,1,1
77,1,1,2,0,2,0,1,1,1
60,3,1,0,0,0,0,0,1,2
75,2,0,0,0,0,0,1,0,4
74,3,1,1,0,0,1,1,1,1
64,3,1,2,0,2,0,1,1,1
45,7,1,0,0,0,0,0,0,3
61,7,0,2,0,2,0,1,1,1
62,1,0,0,0,0,0,0,0,4
67,1,1,0,0,0,0,1,0,4
71,4,1,2,1,2,1,0,1,1
60,1,0,2,0,2,0,1,1,1
66,11,1,0,0,0,0,0,0,4
38,7,1,2,1,2,1,0,1,1
64,1,1,1,1,0,1,1,1,1
54,11,0,0,0,0,0,0,0,3
82,7,0,1,0,0,0,1,1,4
62,3,0,1,0,0,0,0,1,1
52,1,0,0,0,0,0,1,0,5
63,1,0,0,0,0,0,0,1,1
78,4,1,0,1,1,0,1,0,4
49,1,1,0,1,0,0,1,1,1
76,1,0,0,0,0,0,1,0,4
63,11,0,0,0,0,0,0,0,3
58,11,1,0,0,0,0,0,0,3
31,1,0,1,0,0,1,1,1,1
36,8,1,0,0,0,0,0,1,5
75,10,1,0,0,0,0,1,1,1
17,11,0,0,0,0,0,0,0,5
34,8,0,2,0,2,0,0,1,5
77,3,1,1,1,0,1,1,1,3
44,8,1,0,0,0,0,1,1,1
45,10,1,0,0,0,0,0,0,3
56,11,1,0,0,0,0,0,0,3
26,8,0,1,0,0,0,1,0,5
47,3,1,0,0,0,0,0,0,3
74,12,0,0,0,0,0,0,0,3
75,8,1,1,0,0,1,1,1,1
58,12,1,1,0,0,0,1,1,2
78,8,0,1,0,1,0,1,1,6
80,7,1,1,0,0,0,1,1,1
64,7,1,0,0,0,0,1,1,3
76,7,1,0,0,0,0,0,1,2
48,6,1,0,0,0,1,1,1,1
51,8,0,1,0,1,0,0,1,5
47,7,1,1,1,0,1,1,1,1
