image_id,Mean Feature,Variance Feature,Standard Deviation Feature,RMS Feature
img00001,1.5258789062499993e-05,3.4549139542008245e-06,0.0018587398834158653,0.0018588025136749941
img00002,1.5258789062500003e-05,2.922857735418704e-06,0.0017096367261552098,0.0017097048184006377
img00003,1.5258789062499998e-05,3.539521433223637e-06,0.0018813615902382075,0.0018814234674488603
img00004,1.5258789062500003e-05,3.3984792035254533e-06,0.0018434964614898108,0.0018435596096055878
img00005,1.52587890625e-05,4.12514628823993e-06,0.0020310456145148314,0.002031102931631872
img00006,1.5258789062499998e-05,4.428990358330789e-06,0.002104516656700723,0.0021045719728663213
img00007,1.5258789062500007e-05,2.188865152206153e-06,0.001479481379472602,0.001479560063954758
img00008,1.52587890625e-05,1.9873391453741823e-06,0.0014097301675761154,0.0014098127450189394
img00009,1.5258789062499997e-05,3.3456904794725197e-06,0.0018291228716170271,0.0018291865159453184
img00010,1.5258789062499998e-05,2.768563890091332e-06,0.0016639002043666357,0.0016639701682226713
img00011,1.52587890625e-05,3.4111167932743443e-06,0.00184692089524006,0.0018469839262749417
img00012,1.5258789062500003e-05,2.519622529892807e-06,0.0015873318902777727,0.0015874052288361849
img00013,1.5258789062500003e-05,2.930686052406501e-06,0.001711924663180743,0.0017119926644265028
img00014,1.5258789062499993e-05,3.4805496073257253e-06,0.0018656231150277179,0.0018656855142197407
img00015,1.52587890625e-05,4.174166440820757e-06,0.0020430776883958077,0.0020431346679708634
img00016,1.5258789062499998e-05,3.8087513729839724e-06,0.0019516022578855488,0.0019516619081253869
img00017,1.5258789062499998e-05,2.8530606362165196e-06,0.0016891005405885464,0.0016891694606699988
