patient_age,patient_sex,diabetes_time_y,insuline,diabetes,exam_eye,optic_disc,vessels,macula,focus,Illuminaton,image_field,quality,Contrast Feature,Dissimilarity Feature,Homogeneity Feature,Energy Feature,Correlation Feature,ASM Feature,Mean Feature,Variance Feature,Standard Deviation Feature,RMS Feature,diabetic_retinopathy
48.0,1,12.0,2.0,2,1,1,1,1,1,1,1,2,0.14381833618941595,0.22345217157475858,0.44085822445495293,0.40907472658532257,0.7029165862173676,0.22440315902497485,0.24956541427463932,0.14158847315502623,0.3550372786593428,0.5371529571946635,1
48.0,1,12.0,2.0,2,2,2,1,1,1,1,1,2,0.14179565106205952,0.23019531090144804,0.40877155221826367,0.36386077690132757,0.6812315650438385,0.18703490432726638,0.2732672196173123,0.14888386420280242,0.3649099346187411,0.5850115937286556,1
18.0,2,7.0,2.0,2,1,1,1,1,1,1,1,2,0.21051583978345165,0.3259459725081509,0.37667832620204517,0.4159359295832227,0.6014491936680033,0.23034545180135563,0.308139107835972,0.13837972519881175,0.3506152278080624,0.615689172495564,1
18.0,2,7.0,2.0,2,2,1,1,1,1,1,1,2,0.1625253472101266,0.28822719911636574,0.3726228626668919,0.4044501692628634,0.6311293440217275,0.22043954002651614,0.2856133238595931,0.12072746845860512,0.3253227826142653,0.6387837388765009,1
22.0,1,11.0,2.0,2,1,2,1,1,1,1,1,2,0.15550660484985532,0.24644779563694438,0.45566074970903714,0.4613237072158543,0.6580975373201312,0.2714760277948949,0.19239828513865043,0.15882008330616182,0.37797817249325555,0.3639146941472322,1
22.0,1,11.0,2.0,2,2,2,1,1,1,1,1,2,0.1381103057785715,0.2251223195035557,0.4780316676153963,0.48359761944386764,0.6850788505510206,0.29281610840805733,0.20410691196108233,0.16445326907952026,0.3852071239975606,0.3972564302305329,1
22.0,1,1.0,2.0,2,1,1,1,1,1,1,1,2,0.2404737421514179,0.3814448184656591,0.2665725391219378,0.2940812005046918,0.6107307066543741,0.13548391999998605,0.05829032408499173,0.03875074080930671,0.17071840575948152,0.18526892070487222,1
22.0,1,1.0,2.0,2,2,1,1,1,1,1,1,2,0.23373737109136256,0.37863453309801876,0.2587338721604759,0.2729385465974913,0.6256970569890752,0.12133001128570256,0.03325729074623069,0.022179005239913674,0.12209153084746334,0.12997680511618967,1
23.0,1,20.0,2.0,2,1,1,1,1,1,1,1,2,0.24116047037055832,0.35477749933046043,0.3511841937153006,0.400088071182575,0.5634053041318573,0.2167319948161748,0.30094461897192765,0.15056627038399223,0.36715241840948243,0.5716104897375129,1
23.0,1,20.0,2.0,2,2,1,1,1,1,1,1,2,0.19591490630326036,0.3141892454515183,0.32146652624450744,0.3499901729716895,0.599056924977782,0.1761982831076887,0.269391030167979,0.1364012979397712,0.3478633501834103,0.5652840413166496,1
14.0,1,5.0,2.0,2,1,1,1,1,1,1,1,2,0.20630718069767515,0.3137511147625345,0.3875919658941645,0.4054821503706541,0.5841341597110882,0.22132712418742512,0.30903416018854185,0.13308770143860085,0.3432096455268531,0.6175274723108307,1
14.0,1,5.0,2.0,2,2,1,1,1,1,1,1,2,0.2023408816501219,0.336609235270657,0.30944302783844896,0.32676630214564684,0.5509447701819822,0.15871422066410304,0.26957744207795725,0.12806367077434622,0.33604285750838997,0.5737971208454046,1
20.0,1,9.0,2.0,2,1,1,1,1,1,1,1,2,0.19346786226470575,0.3266556665354787,0.3245448047196776,0.3645646848981627,0.6750437886788022,0.18758471566818427,0.12096204042059054,0.06359226803643403,0.2273201780109096,0.30766915682305584,1
20.0,1,9.0,2.0,2,2,1,1,1,1,1,1,2,0.21183731752072366,0.3493290282226112,0.35850600473779026,0.41115910233691433,0.6403655886210446,0.2262036447284512,0.15664678811169105,0.07821059079130327,0.25554348909532204,0.3813569792670889,1
28.0,2,20.0,2.0,2,1,1,1,1,1,1,1,2,0.1502537820878673,0.24626103293727114,0.45204582592611925,0.4649708221222037,0.6841367820738187,0.27491889244395773,0.17219884476827,0.10515690329322952,0.30144491800787265,0.41306373905737565,1
28.0,2,20.0,2.0,2,2,1,1,1,1,1,1,2,0.12939777205253786,0.21761291027772647,0.44923944661725174,0.4372373014358813,0.739136982142001,0.24925445541036248,0.15901757160538177,0.09468704227681006,0.28439129960755616,0.3954087662732166,1
13.0,2,2.0,2.0,2,1,1,1,1,1,1,1,2,0.30566014537795105,0.41082146858945084,0.3254070780972384,0.35763321785945745,0.5378756356125712,0.18213279870752433,0.3331773143291383,0.1626667612047751,0.38292802980775037,0.5461885300270477,1
13.0,2,2.0,2.0,2,2,1,1,1,1,1,1,2,0.32730901530290407,0.4453122249861638,0.33594898407502566,0.38414549008948123,0.4568151938094018,0.2034197851710509,0.3266134976131125,0.15546883000651682,0.37361711611857484,0.5778655919503648,1
37.0,1,3.0,2.0,2,1,1,1,1,1,1,1,2,0.1570165366253234,0.2672037833596474,0.3495621514629867,0.33050372902823255,0.6760272695876496,0.1614572347315397,0.08711800888378735,0.052337470685449236,0.20333748624421408,0.2468382120277714,1
37.0,1,3.0,2.0,2,2,2,1,2,1,1,1,2,0.14570179500324482,0.25704604689368243,0.3403247936443104,0.30331936914667357,0.7091440602286343,0.1418729232889994,0.06560871090048154,0.044586324294654055,0.18531723639881456,0.19231710255959955,1
21.0,2,14.0,2.0,2,1,1,1,1,1,1,1,2,0.2785947432641389,0.39498226765661465,0.31348705571997154,0.36291994716260767,0.557048304259779,0.1862989823288757,0.29311258618582237,0.13764536375240902,0.34959606323745046,0.5592224532553483,2
21.0,2,14.0,2.0,2,2,1,1,1,1,1,1,2,0.30777608040216775,0.43569251089782257,0.30912659439469337,0.3773823237183213,0.508664051427931,0.19789502725823618,0.2937195474765864,0.13842720934206074,0.3506810350841594,0.5709583110881175,2
16.0,2,4.0,2.0,2,1,1,1,1,1,1,1,2,0.29674506285149527,0.4050081791314529,0.3063445065518729,0.34189952288927566,0.5568203345281849,0.17001375487682255,0.3069355347076549,0.17031015376510406,0.39259399497839503,0.5228837320828864,1
16.0,2,4.0,2.0,2,1,1,1,1,1,1,1,2,0.32109003065728453,0.44171162196653146,0.24522418053211267,0.27328686249886225,0.5099265200629599,0.12157280784191261,0.26559688338690113,0.16565654235045557,0.38673525227712163,0.4430525131559432,1
24.0,2,15.0,2.0,2,1,1,1,2,1,1,1,2,0.23300227420101416,0.34450785213533613,0.32924539534385155,0.34360627505418323,0.5835254727445048,0.17130921526238327,0.2835029062843889,0.13427269678393544,0.3448804095313939,0.5362349557422116,2
24.0,2,15.0,2.0,2,2,1,1,1,1,1,1,2,0.25053433105529255,0.3560869345935255,0.3389583057491463,0.3632053257814593,0.5646700431261653,0.1865208745794014,0.2958233462211308,0.14216050016723566,0.3558203663107048,0.5489395555212314,2
20.0,2,14.0,2.0,2,1,1,1,1,1,1,1,2,0.183430101926317,0.28843451441763296,0.31766985382470986,0.3212049959885067,0.7072395996539895,0.15463254219204345,0.09881492211950405,0.07882936951587256,0.2566782005578057,0.2274409333021166,1
20.0,2,14.0,2.0,2,2,1,1,1,1,1,1,2,0.19977008435512417,0.304947363137055,0.3399989969161556,0.3516265076111387,0.6862702825467889,0.17745459562958618,0.13038826279135013,0.10495346386170973,0.3011217587668616,0.2623116630036852,1
26.0,2,12.0,2.0,2,1,1,1,1,1,1,1,2,0.24739661676502964,0.38084604622464746,0.3236723091887944,0.3544789037281021,0.5238958340991428,0.17967029100142634,0.10016433423853718,0.05795626966459973,0.21559598056160234,0.2944041659154524,1
26.0,2,12.0,2.0,2,2,1,1,1,1,1,1,2,0.2606582917504333,0.38885425500142656,0.34678505037465807,0.3789716137732367,0.5012245462015646,0.1991798616733711,0.130921521457073,0.08405125532854323,0.2660845637472988,0.33015634281916323,1
19.0,2,11.0,2.0,2,1,1,1,1,1,1,1,2,0.22853551941084646,0.2991911210517252,0.5234616395549765,0.5745305287514922,0.6153770378588554,0.38778717800083895,0.3825023292279826,0.15685920042640353,0.3754320398076974,0.652629479566591,1
19.0,2,11.0,2.0,2,2,1,1,1,1,1,1,2,0.274509255255692,0.3618611741085072,0.4543888879444532,0.5093409667510911,0.5679482170711019,0.318426875239182,0.3772002948406283,0.17090705994052163,0.3933397004175166,0.6243871334760899,1
24.0,1,14.0,2.0,2,1,1,1,1,1,1,1,2,0.16880914409496234,0.25552693761606066,0.42443038305718384,0.40078083403515036,0.6642302278338494,0.21731718134582353,0.28620468759314643,0.15736690664118994,0.3760927850555895,0.5658181168398574,1
24.0,1,14.0,2.0,2,2,2,1,2,1,1,1,2,0.1627700469547327,0.27199256915126907,0.3615190749955985,0.3520752513395482,0.6320438470585661,0.17780621507733918,0.2560625319437477,0.1394521675551199,0.3520987859703499,0.5523312106513726,1
22.0,1,23.0,2.0,2,1,1,1,1,1,1,1,2,0.2295414689043041,0.3626151958660662,0.3325445876652346,0.36773669598915315,0.5634371239583782,0.19011211693247598,0.11939914048607729,0.06607746798078973,0.23232751857496922,0.32393607446867423,1
22.0,1,23.0,2.0,2,2,1,1,1,1,1,1,2,0.19329716377627879,0.33473849818172996,0.32935309435739973,0.35013418686627834,0.6155160860877666,0.17630330333423055,0.10742997129584722,0.061723907316110584,0.22349216208438646,0.304009648906429,1
20.0,2,13.0,2.0,2,1,1,1,1,1,1,1,2,0.28085729774548285,0.393581669515695,0.3040227462712052,0.34092844229948654,0.516500822929134,0.16928165157980044,0.28048915879183844,0.14600228780085184,0.36103967954352834,0.5398758960790285,1
20.0,2,13.0,2.0,2,2,1,1,1,1,1,1,2,0.2559069387328436,0.36652161313456627,0.3247710757919051,0.3548458535262358,0.5517567121049796,0.17996192524017637,0.28813103240442867,0.1486149125367917,0.3645502854434714,0.5430637707647663,1
42.0,1,5.0,2.0,2,1,1,1,1,1,1,1,2,0.1755159938123041,0.28685374431277827,0.2688392427356379,0.23492086916905297,0.6532145157275172,0.09761558566140772,0.19189508809859196,0.1042476775199631,0.2999982253284129,0.43068935667933345,1
42.0,1,5.0,2.0,2,2,1,1,1,1,1,1,2,0.19063900853291924,0.2912443409786606,0.3590514106210689,0.3444523400757243,0.6173754515945024,0.17194957248042833,0.2706044321433554,0.12638141631171862,0.333612097458539,0.5579678169601611,1
