Mean Feature,Variance Feature,Standard Deviation Feature,RMS Feature,diabetic_retinopathy
0.71388438,0.549842193,0.688785196,0.741827132,1
0.442308458,0.27255164,0.431559393,0.456431845,1
0.230400431,0.15634094,0.289725507,0.248735913,1
0.443973697,0.370831615,0.532203306,0.483987956,1
0.351571882,0.196461358,0.342407557,0.360301373,1
0.583661203,0.535608247,0.677280928,0.634228856,1
0.339019789,0.172077922,0.310575407,0.342320145,2
0.728939717,0.507444686,0.654097056,0.745644776,1
0.262875727,0.157268148,0.290998732,0.275218962,1
0.403632388,0.247810111,0.390133385,0.414613035,2
0.320208534,0.469253012,0.613088023,0.414450301,2
0.284863339,0.181915304,0.321782289,0.300891659,2
0.534555097,0.436046579,0.592464108,0.572292363,2
0.44436409,0.365382693,0.526955609,0.482866537,1
0.323255063,0.153049802,0.28518266,0.323282193,1
0.425188477,0.313877641,0.475533521,0.453809145,1
0.430340154,0.399250765,0.559035624,0.480739483,1
0.414678067,0.26785752,0.426389235,0.432643377,2
0.295497862,0.212923589,0.362759032,0.320179529,1
0.507123611,0.329511165,0.491435336,0.52416736,2
0.39181553,0.467273946,0.619986242,0.469242955,1
0.438133467,0.47279859,0.624754477,0.505854279,1
0.410023344,0.210569819,0.359683854,0.412569207,2
0.323192816,0.200387381,0.347321903,0.338410922,1
0.228735293,0.120057375,0.236176897,0.233911526,2
0.436470099,0.360215945,0.521947603,0.475245198,1
0.519335992,0.345712916,0.507150718,0.538043518,2
0.315804961,0.171798073,0.310587236,0.323225593,1
0.269364115,0.127662601,0.248803809,0.270295565,2
0.395490035,0.21779769,0.368660504,0.4027132,1
0.522625275,0.420878758,0.578152537,0.559758844,2
0.459712656,0.43612353,0.592595933,0.513208399,2
0.252961839,0.140604305,0.267615299,0.261318113,2
0.266045272,0.169660871,0.307742636,0.282093994,2
0.5451625,0.462916323,0.616207174,0.587097936,1
0.460064276,0.247077376,0.403025823,0.464149443,1
0.654001412,0.496246199,0.64448905,0.682348221,2
0.621038903,0.520417027,0.664847035,0.66065995,1
0.384870616,0.191988184,0.336584018,0.386342595,2
0.388236789,0.254082757,0.410956416,0.407342957,2
0.259339503,0.373651775,0.534834857,0.344086308,2
0.407510561,0.225007503,0.377291558,0.414676302,2
0.504498077,0.468530147,0.621072687,0.556279437,1
0.479954612,0.275878023,0.435200209,0.488196607,1
0.312741788,0.177091009,0.315161794,0.321940625,2
0.53801471,0.26895412,0.427600466,0.534627963,1
0.378884524,0.210244598,0.355836662,0.386099529,2
0.140620586,0.121625623,0.239777973,0.163965377,1
0.435698717,0.205511915,0.353638458,0.43255838,2
0.586344162,0.322135924,0.483626931,0.58781732,2
0.398987193,0.231746554,0.385241004,0.409641868,2
0.478566042,0.24672099,0.402618069,0.479395245,1
0.26081601,0.14531938,0.271341376,0.268617807,2
0.544463347,0.364108544,0.525576665,0.563109299,2
0.558975777,0.219977069,0.371281724,0.540219006,1
0.460455533,0.23581008,0.389713925,0.461413637,2
0.394909214,0.282043359,0.441899193,0.420681231,1
