,Contrast Feature,Dissimilarity Feature,Homogeneity Feature,Energy Feature,Correlation Feature,ASM Feature,Mean Feature,Variance Feature,Standard Deviation Feature,RMS Feature,dr_class
2332,567.0924667,7.814587889,0.819079342,0.810764797,0.817750186,0.657352748,26.20638149,155.2820978,12.46122377,10.79635494,0
7640,38.87979578,1.466652357,0.851134744,0.68239825,0.946104461,0.465677376,19.55714645,31.32614721,5.596976613,10.45087379,1
2756,468.034677,6.104395659,0.785194107,0.748423554,0.906248481,0.560145332,27.16732741,301.7181763,17.37003674,10.27195805,0
5986,920.7652417,11.92227886,0.589319984,0.538358883,0.871609213,0.289875781,65.62584797,360.839398,18.99577316,10.76563291,0
9185,2624.30045,25.32703372,0.562529109,0.549463151,0.783833183,0.301985116,73.90834869,780.687589,27.94078719,10.64532067,1
9205,2433.99893,25.10765082,0.558634537,0.546596231,0.804103775,0.298815671,54.40070983,885.2690476,29.75347119,10.38701412,0
1848,1669.09402,20.42777446,0.544767174,0.528665201,0.865919894,0.279518733,55.83980713,954.1956973,30.89005823,10.65272635,0
3504,5650.813868,47.18816132,0.35936797,0.348230971,0.645927943,0.12141925,77.7849162,2036.271046,45.12506006,10.36940143,1
4559,665.2160831,8.700817625,0.574549339,0.476975274,0.921218033,0.227523252,65.70574139,360.4347299,18.98511864,10.75177655,0
6699,1191.974106,13.20209805,0.54066583,0.46721361,0.875596432,0.218358454,75.21972829,508.0133458,22.5391514,10.76381972,0
4133,1172.614453,11.53355275,0.622306707,0.569144305,0.910416991,0.323952601,92.16539813,540.3866197,23.24621732,10.4274385,0
4592,1337.72352,13.5373822,0.599802996,0.54394899,0.874724528,0.295913387,84.64990027,451.946288,21.25902839,10.80086382,1
9759,3094.681983,29.26618782,0.505169728,0.489939296,0.785581917,0.240156199,66.84732614,1145.153831,33.84012162,10.63748423,1
4165,3275.758025,27.6933287,0.571493759,0.558466979,0.756892761,0.311989709,90.58146033,1123.695517,33.52156793,10.30112763,0
1706,345.2279973,6.296314613,0.558498666,0.399956016,0.918355969,0.159989752,42.86684719,253.0231227,15.90670056,10.66666973,0
8305,1382.309327,14.92033285,0.660235133,0.637574648,0.844626323,0.406539691,62.09890682,549.4791741,23.44097212,10.68991403,0
9053,1303.210287,13.51159901,0.480730398,0.38965677,0.891414498,0.151877778,87.95040349,906.5094092,30.10829469,10.54414004,0
8703,4533.963531,35.95530741,0.450090969,0.43023888,0.714831024,0.185260958,88.36535378,1654.126739,40.67095695,10.17990358,0
4264,2074.019908,19.94675444,0.592010933,0.562983789,0.807737208,0.316998162,67.88802945,751.0038838,27.40445007,10.55044648,0
2442,1675.739458,18.23890445,0.558618265,0.507786594,0.879170357,0.257882932,60.71630911,1073.542541,32.76495905,10.61242553,1
9720,1698.162407,17.0667902,0.681612313,0.668008501,0.830238632,0.446264917,55.1445159,622.6248815,24.95245241,10.69913834,0
6125,1995.727618,19.33900176,0.460537635,0.395721948,0.843471458,0.156722288,82.05693307,767.6590009,27.70665987,10.74055413,0
3303,1216.187122,12.42795261,0.565966777,0.513462302,0.909839226,0.263668759,102.5325265,572.9966584,23.93734861,9.976517614,1
4682,618.0079697,7.826709206,0.641945497,0.565232731,0.92512096,0.319512086,77.74311228,338.6931606,18.40361814,10.82095484,1
7187,2671.328763,28.74855603,0.362126699,0.339468961,0.825678654,0.115301842,96.31002163,1299.178711,36.04412173,10.00290972,1
7065,664.9007673,9.519815188,0.589291288,0.502154468,0.868637826,0.252173535,18.08071425,297.1482718,17.2379892,8.360439783,0
9753,3194.136359,28.42353479,0.398867402,0.369789874,0.806256628,0.136832004,94.9785998,1252.46839,35.39023015,10.11813556,0
5234,34.58599051,0.607977387,0.941041792,0.830579762,0.798520873,0.689866884,6.27169283,6.728274097,2.593891689,6.784681462,0
1976,1304.998513,20.01817344,0.423317622,0.394573109,0.863746616,0.155701858,15.09298267,413.4989975,20.33467476,6.765845184,1
1320,1116.524655,17.29923935,0.250268514,0.180291379,0.881455216,0.032521162,68.71449851,834.4520043,28.88688291,10.66839014,0
5456,2810.483259,27.28866661,0.530487663,0.515452612,0.769576851,0.265770682,72.41848331,987.6702841,31.42722202,10.62959048,0
2669,314.339588,5.189137806,0.664592028,0.550846764,0.945053646,0.303452647,54.29152306,228.8023229,15.1262131,10.8080451,0
4083,1536.552457,23.16177177,0.399238838,0.378048013,0.83994913,0.142937452,23.40460464,522.4707544,22.85761918,8.99720379,0
2008,3828.623673,31.86476213,0.418470074,0.388033755,0.754166384,0.150694773,100.1940771,1303.792482,36.10806671,9.786994121,0
7418,3554.778069,32.71497573,0.394963057,0.367892885,0.763303507,0.135443127,92.38371608,1220.575637,34.93673764,10.16038106,0
9047,4313.08176,37.92165706,0.353415814,0.333398542,0.721320309,0.11128296,98.89371125,1605.421197,40.06770765,10.06980571,0
6291,2605.487362,22.3814267,0.498296001,0.462278511,0.837018496,0.213762867,112.3938616,806.1378761,28.39256727,9.596656997,0
4485,697.907484,8.886229546,0.613270633,0.486688621,0.910348328,0.236884855,68.0130719,465.9734888,21.58641908,10.66051441,0
4275,50.08824222,1.558810131,0.834863622,0.536809273,0.924800047,0.288182915,20.99196003,26.48483202,5.146341615,10.8591921,1
2968,2202.029925,23.42329329,0.503300871,0.476874331,0.818674034,0.22745499,54.08403647,1108.517378,33.2944046,10.18995942,0
1164,44.35779983,0.61509157,0.927790602,0.716520234,0.692310365,0.513414041,5.149185914,3.289574481,1.813718413,5.459275599,1
1408,716.6817975,10.52201952,0.702885537,0.683396664,0.892758516,0.467045612,23.82802842,363.0402304,19.05361463,9.481954442,0
4588,1209.302158,12.81377999,0.790184102,0.78623343,0.807246072,0.6181816,23.79798666,478.9507914,21.8849444,9.710355704,0
3554,3306.66448,28.6410334,0.492597962,0.466032574,0.794510193,0.217270639,96.45729814,1061.87405,32.58640898,10.1862746,0
3728,45.4705628,1.007098179,0.912826159,0.802703253,0.910484707,0.64433568,19.74970731,22.84424864,4.779565737,10.92594062,1
745,1390.734935,18.09964752,0.565142175,0.548464352,0.873469203,0.300829201,35.37908669,844.5973749,29.06195752,9.522907875,0
4158,1130.529306,10.50675971,0.853101557,0.849818382,0.724428841,0.722202084,8.496899963,215.546527,14.68150289,6.204140807,0
1321,3688.918514,31.62100443,0.532585073,0.521804704,0.757864932,0.27237449,89.43601055,1313.020872,36.23562987,10.39711062,0
2095,25.77588438,0.634841355,0.938467627,0.805150651,0.85169686,0.648271474,6.0911299,7.454324088,2.73026081,6.672093615,0
3870,606.8480929,8.49451024,0.593768551,0.498138891,0.908603614,0.248168024,45.01347042,445.4156403,21.10487243,10.57678767,0
9300,2466.352534,23.75915229,0.491159623,0.459031913,0.827495364,0.210780389,84.7533735,1065.964022,32.64910446,10.42280506,0
7306,950.2798694,11.92977785,0.760183689,0.753805945,0.806220973,0.568238153,15.99745211,217.2643617,14.73989015,9.226085522,0
3742,53.96648667,1.725087277,0.771248529,0.607835701,0.957641364,0.369470859,15.59102305,79.28287938,8.904093406,9.580547923,1
3265,2391.251932,25.69396874,0.520507266,0.50632224,0.816695603,0.256461331,51.12609708,951.6164656,30.8482814,10.49676477,0
9591,583.1875904,7.280737923,0.862308997,0.859167437,0.785048555,0.738179176,15.81193485,204.6104654,14.30421146,9.287939719,0
2237,541.659738,6.905647806,0.758582902,0.715444763,0.896184005,0.511870585,45.62400844,290.3652861,17.04010816,10.6902677,0
2810,1028.020742,11.60278901,0.585171066,0.471206981,0.864509261,0.222077953,70.87744104,374.7060452,19.35732536,10.86043636,1
2913,3258.476656,30.43788272,0.450153687,0.428576848,0.778307162,0.183773359,82.76255165,1106.873629,33.26971038,10.48152398,0
9751,745.9992815,11.75765423,0.679108805,0.665183842,0.851766074,0.442478524,19.79707335,260.0132199,16.12492542,9.580731455,0
335,2894.705172,29.64344562,0.538864855,0.531176253,0.752114298,0.282165886,13.3910519,482.4006185,21.96362034,7.053359215,0
2840,4127.29593,36.58816476,0.442829221,0.430582874,0.748949476,0.185527483,92.51754475,1732.830042,41.62727522,10.28688614,0
3340,2306.463002,25.48035069,0.548097045,0.538122211,0.792034517,0.289598429,11.67540358,313.0781124,17.69401346,6.61634257,0
8544,3166.284333,33.37633437,0.418213594,0.404781992,0.75318078,0.163902995,29.12179559,883.8350483,29.7293634,8.839147428,0
9406,613.1011438,9.184324733,0.677131193,0.64114796,0.903386647,0.411087677,47.66581248,420.9491417,20.51704515,10.64326513,1
3140,2495.472962,26.20897755,0.548499391,0.536860355,0.78070221,0.288271334,54.73252015,880.7337693,29.67715905,10.55849479,0
7557,404.8484834,7.247303635,0.566939724,0.47593515,0.941883626,0.226533474,40.46105009,358.8147431,18.94240595,10.7704419,0
9034,393.4789158,7.256003731,0.398014938,0.25048702,0.959473059,0.062760215,61.35431671,693.1791084,26.32829483,10.91148132,0
5081,508.2189012,7.816487841,0.782357171,0.77032796,0.856714523,0.593417975,13.9967342,194.0612151,13.9305856,8.138923838,0
7259,3477.548611,32.54899769,0.451552459,0.437292614,0.784637598,0.191324956,89.20601664,1365.658095,36.95481153,10.35261776,0
945,232.2507884,5.010409649,0.576144761,0.435854839,0.954465309,0.189985401,39.85989434,401.2524373,20.03128646,10.2249732,0
8341,2821.080013,26.32956898,0.48770754,0.45914375,0.799891258,0.210877537,82.48076923,1066.208104,32.6528422,10.53611593,0
1760,1855.521349,19.6273394,0.588420617,0.567031091,0.863996984,0.321561913,65.35938866,803.9277256,28.35361927,10.52198441,0
