,Contrast Feature,Dissimilarity Feature,Homogeneity Feature,Energy Feature,Correlation Feature,ASM Feature,Mean Feature,Variance Feature,Standard Deviation Feature,RMS Feature,dr_class
7180,72.25678155,1.714282057,0.878439718,0.837991159,0.976655038,0.702237897,39.03246638,110.639446,10.5185287,10.44693525,1
855,109.129623,2.462628627,0.831240913,0.788055983,0.977603045,0.621043469,34.00481041,147.1186023,12.12924574,10.86106546,0
9095,228.8549165,3.583741509,0.856102508,0.835322551,0.956260347,0.697780017,42.10577122,188.3761862,13.72502045,11.03645157,0
7456,102.4016029,2.292957785,0.856883205,0.826109738,0.969639805,0.682471914,35.99934073,119.4998497,10.93159868,10.78052773,1
197,71.81657367,1.970781514,0.806719637,0.722259982,0.972235329,0.521676215,34.72023342,99.51958754,9.975950458,10.95543398,0
5736,110.4329961,2.142352497,0.866935001,0.817602572,0.969376908,0.668492985,34.69960367,116.5319446,10.79499628,10.58834409,1
8476,67.97504208,1.791835591,0.823991288,0.760704186,0.976992557,0.578677175,36.74216005,107.988756,10.39176386,11.47374871,0
8379,142.36487,2.715021622,0.873535965,0.846671641,0.965430482,0.716868399,36.12427923,91.86261702,9.584498788,10.6659041,0
3032,125.6282441,2.690100944,0.806293155,0.751429834,0.978976671,0.564658068,38.51554063,137.6163461,11.73099937,10.84972117,0
2781,86.15497014,2.095884889,0.853691593,0.801754158,0.975794986,0.64282216,35.18782652,164.4878904,12.82528325,10.78940664,0
6476,243.2326308,3.519646221,0.878785306,0.852776822,0.94043162,0.727253747,37.38971654,139.8316582,11.82504369,11.74035815,0
1069,128.2516307,2.437773194,0.857063332,0.807771598,0.963306351,0.652512168,45.30174998,147.0500777,12.12642065,10.69660102,0
9741,140.8300952,2.614540258,0.874921261,0.855920362,0.958849042,0.732614,36.85038869,159.9962565,12.64896266,10.68321519,0
4094,77.76657761,1.899787,0.867134133,0.818373514,0.974195003,0.669743457,35.75623202,129.5277345,11.3810252,10.58815571,0
2862,200.0779038,3.348160968,0.859072531,0.840263848,0.96230564,0.706061389,37.55869719,198.9921119,14.10645639,11.06086252,0
5826,37.79361342,1.323190639,0.794283372,0.661015965,0.989080692,0.436950061,33.71248547,45.70558128,6.760590305,10.97437288,1
6155,33.13649902,1.079657963,0.823691124,0.683512209,0.984906595,0.467197705,35.12542152,45.77632137,6.765820081,11.00904961,0
9786,38.25926375,1.26899791,0.805158456,0.690979162,0.985821282,0.477461828,37.34197021,53.06608167,7.284646983,11.05548378,0
2221,192.214647,3.062011755,0.892179463,0.871856022,0.949929582,0.760154051,36.79600295,88.47714975,9.406229306,10.52491616,1
2794,129.5188994,2.590577668,0.867413831,0.835368101,0.964116323,0.697856874,41.10586073,99.46245431,9.973086499,11.06668543,0
2649,50.13703265,1.454891733,0.829997694,0.741895267,0.98456,0.550415088,36.67717984,72.92003545,8.539322892,10.55726613,0
3284,66.82392313,1.827719186,0.840490534,0.730381594,0.970083171,0.533477556,35.23478555,58.38425434,7.640958993,10.63653292,1
7509,72.06778629,1.928068862,0.84443663,0.803497985,0.981020519,0.645614403,32.18241113,58.82505694,7.66974947,10.1110786,0
589,154.4713471,2.988340604,0.844763599,0.809679465,0.963690786,0.65560076,37.73525285,125.9834074,11.22423304,10.67647548,1
7170,150.3080103,3.049719767,0.826427107,0.77652681,0.966131741,0.603018065,38.3901153,136.8818919,11.6996535,11.01658087,0
6114,112.5511172,2.282535795,0.871850885,0.839512464,0.968948085,0.704793839,41.16870243,163.5332318,12.78801125,10.48405657,0
2284,75.5607686,2.035356557,0.84239115,0.787891245,0.98139103,0.620778511,37.97493624,150.2197818,12.25641798,10.84589156,0
1539,169.0424088,2.861652925,0.853996763,0.821517243,0.969825527,0.674903212,41.78449029,194.9143145,13.96117167,10.68188632,0
767,149.6067796,2.746641278,0.867835003,0.847239357,0.962573397,0.717830123,39.04427958,177.7620957,13.33274524,10.77312388,1
7390,80.96628374,2.048318224,0.823281315,0.757442325,0.981160062,0.573728224,35.47083265,114.7656878,10.71287486,10.63629804,0
4439,94.25052937,2.121058338,0.840434768,0.791997368,0.977031934,0.627267632,45.62835681,204.2400347,14.29125728,10.73586999,0
7595,83.83933045,2.293413676,0.814215809,0.741806359,0.972690964,0.550293527,34.40133134,104.266159,10.21108021,10.82030721,0
1883,71.41351165,1.538244552,0.86337668,0.823731654,0.983905142,0.678537732,37.94718596,184.1944193,13.57182446,10.91356216,0
9302,142.3786567,2.880107762,0.867407585,0.836033914,0.959825292,0.698975174,34.97459857,102.1908857,10.10895077,11.27164604,0
1365,139.708703,2.833489148,0.845381834,0.80475903,0.969791106,0.647649463,38.88055615,154.887668,12.44538742,10.46181181,0
