,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
10415,-0.13674015,-0.07587422,-0.1888461,-0.74177235,0.16443338,-0.1322756,-0.15640566,0.0064008953,-0.3536648,0.08100096,-0.8518556,-0.110752605,-0.057456307,0.11256376,0.26042917,-0.15519649,1
4906,1.1564537,-1.0473027,0.08147657,-0.74177235,-0.9893446,-0.1322756,0.77792853,-0.9411285,0.5757371,-0.58760357,-0.91348714,-0.110752605,-0.3144554,-0.90474993,-0.15039599,-0.15519649,1
11122,0.04784183,-0.61990726,-0.1888461,-0.74177235,-0.78451514,-0.1322756,-0.15640566,-0.10103302,-0.3536648,-0.17376743,-0.91348714,-0.110752605,0.12244379,-0.38306385,-0.031000128,-0.15519649,1
5559,0.994449,-0.86165607,0.39269432,-0.5154937,-0.6352391,-0.1322756,1.3597343,-1.2200729,1.4836556,-0.9444861,-0.6730893,-0.110752605,-0.6319346,-1.1114858,-0.40452322,-0.15519649,1
15317,1.4343873,-1.0473027,0.8934605,0.31566325,-1.0644995,0.5501973,1.4436013,-1.2200729,1.3451751,-0.6593854,-0.5946008,0.28890884,-1.0602671,-1.1872264,-1.0093926,0.41925216,1
3321,0.30544704,-0.8048349,0.54992664,-0.74177235,-0.81670207,0.889768,0.32116234,-1.1429467,0.02535623,-1.0315293,-0.62364084,0.77090776,-1.0602671,-1.0155079,-1.0093926,1.4430667,1
11343,-0.13674015,-0.64840126,0.2729493,-0.059564695,-0.042819686,-0.1322756,-0.15640566,-0.29989028,-0.3536648,-0.55292195,0.3754342,0.6970121,-1.0602671,-0.51985604,-1.0093926,0.17032175,1
15296,0.5909272,-0.9502954,0.43712613,-0.74177235,-0.65257394,0.8050962,0.5559812,-0.8702534,0.25414822,-0.6018412,-0.91348714,0.5216835,-1.0602671,-0.8634286,-1.0093926,0.99108225,1
11240,-0.13674015,0.039819438,-0.1888461,-0.74177235,0.36397174,-0.1322756,-0.15640566,0.24819542,-0.3536648,-0.038966496,-0.14039272,-0.110752605,0.014424077,0.3407133,0.46963623,-0.15519649,1
5279,1.0512503,-1.0473027,0.48364297,-0.74177235,-1.0644995,-0.03753751,1.7292566,-1.2200729,1.6792092,-1.0315293,-0.91348714,1.1529108,-1.0602671,-1.1872264,-1.0093926,0.8176877,1
12030,0.009883594,-0.8891661,-0.1888461,-0.74177235,-0.8326184,-0.1322756,-0.0789224,-0.42225033,-0.13827518,-0.69058734,-0.91348714,-0.110752605,-0.37666893,-0.44510472,-0.4133603,-0.15519649,1
16139,0.40539068,-0.5946692,-0.1888461,-0.74177235,-0.3630865,-0.1322756,0.26878458,-0.3724583,0.028228275,-0.20686603,-0.91348714,-0.110752605,-0.3908731,-0.4051969,-0.2686976,-0.15519649,1
13573,0.31398302,0.08512518,1.1577659,-0.74177235,-0.33740067,1.3402141,0.19542375,-1.011801,-0.030542111,-0.28049535,-0.2142794,1.0246207,-1.0602671,-0.69902927,-1.0093926,1.6963259,1
9559,1.6407322,-1.0473027,1.1097813,0.34547746,-0.7837764,0.6080996,1.6642703,-1.2200729,1.3548818,-0.5686285,-0.4629391,0.39096978,-1.0602671,-1.1872264,-1.0093926,0.064424954,1
5520,1.4744169,-1.0473027,1.2643825,0.102719866,-1.0644995,1.0587549,1.8000809,-1.2200729,1.6291126,-1.0315293,-0.91348714,0.032336142,-1.0602671,-1.1872264,-1.0093926,0.16501339,1
15576,1.2769564,-0.73973495,0.59855455,-0.2007717,-0.41848388,0.57543063,1.2105505,-1.1523219,0.8197626,-0.24939477,-0.47768626,0.3926818,-1.0602671,-0.927669,-1.0093926,0.529188,1
13967,1.2040932,-1.0473027,0.09718616,-0.74177235,-1.0644995,0.12861799,0.7364267,-0.8249439,0.6001773,-0.51439136,-0.91348714,-0.110752605,-0.1689777,-0.95639825,0.006622804,-0.15519649,1
7908,1.1449388,-1.0473027,0.58415425,0.36270696,-0.83132774,0.8233553,0.16767192,-1.2200729,1.4592829,-1.0315293,-0.91348714,0.38365594,-1.0602671,-1.1872264,-1.0093926,0.7321842,1
12049,-0.13674015,-0.49467713,-0.1888461,-0.74177235,-0.37670708,-0.1322756,-0.15640566,0.19769579,-0.3536648,0.30016896,-0.91348714,-0.110752605,0.65760994,-0.16683023,0.6718015,-0.15519649,1
10101,0.43092895,-0.15409757,0.8993055,-0.74177235,-0.22566152,1.1139054,0.6730571,-0.94397956,-0.034385152,-0.5058351,-0.42895475,0.6528669,-1.0602671,-0.66137105,-1.0093926,0.8808794,1
707,-0.13674015,-1.0473027,0.6776586,-0.74177235,-1.0644995,-0.1322756,1.4036149,-1.2200729,2.2460315,-1.0315293,-0.91348714,1.5173658,-1.0602671,-1.1872264,-1.0093926,0.08493503,1
15742,1.7576274,-1.037967,1.7552906,0.46673098,-0.43644446,1.5771235,-0.15640566,-1.2200729,1.9710615,-0.5486114,-0.8257977,0.91154265,-1.0602671,-1.1872264,-1.0093926,0.8188243,1
13065,-0.13674015,0.08488094,-0.1888461,-0.45420003,-0.36374003,-0.1322756,-0.15640566,0.26496294,-0.3536648,-0.14854228,0.092705585,-0.110752605,0.16465929,-0.1115629,0.22727737,-0.15519649,1
5835,1.3248352,-1.0473027,0.6066992,-0.74177235,-1.0644995,-0.1322756,1.2750944,-1.2200729,1.4270355,-1.0315293,-0.91348714,-0.110752605,-0.3941464,-1.1872264,-0.13286081,-0.15519649,1
12196,1.0597515,-0.4594805,0.8222055,-0.74177235,-0.41952723,1.0284525,0.7746906,-0.62033135,0.41671166,-0.5373594,-0.84419936,0.42138013,-1.0602671,-0.7333284,-1.0093926,0.69605833,1
