,Contrast Feature,Dissimilarity Feature,Homogeneity Feature,Energy Feature,Correlation Feature,ASM Feature,diabetic_retinopathy
9718,0.273306971,0.320020301,0.406971744,0.382725999,0.528948122,0.202254145,1
19320,0.022030287,0.108838037,0.296451388,0.027641877,0.849044275,0.007099236,1
17715,0.072485458,0.188288817,0.258003894,0.054811988,0.81909558,0.01521915,1
1891,0.056737573,0.150578688,0.314740371,0.145872903,0.906079145,0.050670304,1
4270,0.05285409,0.079901831,0.548963575,0.053936975,0.937987599,0.014945905,1
23321,0.093863607,0.194051459,0.199803884,0.060367737,0.777826987,0.01702124,1
14552,0.046795847,0.132320918,0.336875835,0.164200251,0.895911226,0.05988589,2
16301,0.088739689,0.200991008,0.21002489,0.060730524,0.793971003,0.017138707,1
23588,0.164037885,0.287914373,0.2292269,0.171911415,0.656830503,0.064254151,2
15023,0.217015457,0.361645904,0.147427526,0.129995142,0.47266323,0.043602486,1
25770,0.0279299,0.09699035,0.286858558,0.072685822,0.944533078,0.021177134,1
2904,0.046313212,0.147237787,0.310829473,0.04641428,0.804192775,0.012588484,1
6825,0.061624357,0.143980482,0.343085587,0.180658476,0.879508653,0.067562359,1
4078,0.062861368,0.1677744,0.219214389,0.013104384,0.813965348,0.00320917,1
22176,0.077098981,0.156445823,0.292482444,0.049443823,0.884991891,0.013520393,1
18396,0.175171019,0.240150786,0.329498036,0.188214735,0.805270265,0.071476585,1
29624,0.141514815,0.242344529,0.3372419,0.298372825,0.759114321,0.142283796,2
9778,0.162757929,0.245108744,0.495790479,0.495594182,0.646041339,0.32015178,2
24640,0.083584634,0.145291913,0.371378384,0.175796367,0.903814174,0.065101292,2
9455,0.043667003,0.110427217,0.325640933,0.040385148,0.885049817,0.0109734,2
5783,0.066305604,0.130160541,0.357438824,0.045089922,0.892287935,0.012191429,2
22051,0.078352108,0.173236433,0.249741266,0.100089015,0.812818757,0.033382077,2
17991,0.110186312,0.198501802,0.268878041,0.197746124,0.8677329,0.076535087,1
16216,0.096051076,0.208498427,0.23065171,0.079474003,0.749440999,0.024071581,2
2009,0.034760941,0.077727134,0.476773016,0.132610305,0.982978877,0.044716214,1
20879,0.078860505,0.200566377,0.173340664,0.029649056,0.745195558,0.007893025,2
16840,0.252870951,0.370600035,0.214946294,0.167413577,0.457879269,0.060936308,1
3555,0.136810353,0.255395388,0.17657171,0.05317302,0.685174006,0.014965429,2
13146,0.24973318,0.395385784,0.262255531,0.294807938,0.511627823,0.136035,2
29875,0.123081684,0.227143061,0.303158873,0.25473686,0.810464416,0.109922973,2
14435,0.151246706,0.254481288,0.213178265,0.115872113,0.673502082,0.055243956,2
17535,0.271139803,0.29623285,0.564543815,0.608145845,0.673718256,0.426435495,2
6194,0.120414058,0.233736873,0.257414084,0.181704647,0.848170422,0.068100871,1
23854,0.112707975,0.209401446,0.270981475,0.174222895,0.846364849,0.064297687,1
8066,0.278070057,0.405731574,0.109919862,0.05002394,0.331428031,0.013721778,1
24384,0.136190135,0.264891319,0.166339646,0.075159521,0.630633985,0.022044727,1
29842,0.116768306,0.275246605,0.149536626,0.04902339,0.635079071,0.013915606,2
1725,0.132022999,0.212391183,0.321880225,0.18893291,0.857767517,0.071853267,1
22181,0.228440243,0.360085103,0.299512161,0.330782942,0.524673044,0.1616741,1
4056,0.206716832,0.248828095,0.426468974,0.393414473,0.743463799,0.211102727,2
15184,0.134767003,0.246222275,0.198895492,0.067410313,0.734169413,0.020808989,2
13269,0.101395681,0.220285715,0.212107959,0.170817068,0.85287478,0.062604634,2
7717,0.059017494,0.129838267,0.401710218,0.159652965,0.959229069,0.057137304,1
8084,0.080566019,0.134935633,0.384286747,0.067764354,0.86338215,0.019492293,1
22241,0.064942759,0.156316131,0.300942423,0.227900167,0.898319479,0.09346565,2
11167,0.167234239,0.260526958,0.4039361,0.372454853,0.644975468,0.193924345,2
24016,0.112253439,0.241743875,0.23064499,0.061791906,0.683218039,0.017491037,1
25124,0.244968715,0.352064892,0.167295026,0.122022757,0.581593554,0.040423562,2
16294,0.141381122,0.270216143,0.182915626,0.079525054,0.595665096,0.023596613,1
29503,0.177770487,0.264090527,0.304821957,0.283419839,0.780986977,0.129246085,2
6675,0.091673107,0.191496264,0.241733788,0.09196577,0.794200486,0.028655917,2
6375,0.079268424,0.168023845,0.389496943,0.321092734,0.798005783,0.154546227,1
26806,0.076523967,0.164345809,0.176065938,0.046043551,0.851024314,0.012468977,1
19325,0.055706795,0.143678981,0.242005537,0.092618734,0.93999658,0.029009544,2
17641,0.081740646,0.201865147,0.195406825,0.026637347,0.694611813,0.006822041,2
3772,0.029421095,0.113843503,0.384038352,0.047732642,0.85727253,0.01302098,2
20692,0.072302976,0.197945817,0.220043119,0.045189496,0.747305379,0.012333614,2
692,0.149560267,0.238558059,0.269998129,0.245389519,0.830234889,0.10515666,2
14599,0.16579342,0.31440868,0.168729062,0.073072156,0.542855753,0.021319845,1
