,Contrast Feature,Dissimilarity Feature,Homogeneity Feature,Energy Feature,Correlation Feature,ASM Feature,Mean Feature,Variance Feature,Standard Deviation Feature,RMS Feature,diagnostic
493,0.1784433194712071,0.1781162790559494,0.9109745645135512,0.3373481776087133,0.9731526889385288,0.1138599164223839,0.0321319758555208,0.0009919773540311,0.0305292952784566,0.3508169922481743,3
1364,0.2381486667896087,0.2308896931864827,0.8852800860548377,0.331025766232135,0.9612332826509208,0.1097177687502759,0.0209888621780593,0.0003301980507352,0.0172034173070212,0.3482891813715816,1
2224,0.1636619822753796,0.16271546035572,0.91873681300123,0.3325904335075745,0.9747912782039254,0.1106600722699071,0.0985207203271751,0.0065350974947828,0.0799136526015197,0.5226013020472182,1
2278,0.1232316860990966,0.1229134014087715,0.9385751158691138,0.4955214148752449,0.9377852417885528,0.2455713901217237,0.2000393198217333,0.0685821372813434,0.261134819594639,0.5086147728970115,3
119,0.4169668037215489,0.2907584088124509,0.8661551935154818,0.2755277705167257,0.9647005953252028,0.0759862022622023,0.0224976463480435,0.000292518663648,0.0161359215874454,0.3286421843881796,2
1883,0.2125258638016906,0.1953757244553987,0.9040051792411684,0.2797597557370037,0.9867253789382728,0.0783297443496398,0.0416530640919264,0.001105276808275,0.0322802428451409,0.4556837915771272,3
1078,0.0866304469560941,0.0866301162814948,0.9566849749267126,0.4608076300749976,0.9663154717553436,0.2123603327823432,0.1804463926085424,0.0545549231814008,0.2327943844591071,0.4683483615296234,1
2192,0.1420820201064248,0.1335044972978535,0.934101612846688,0.3835711561845052,0.9753788731776296,0.147167995847232,0.0537707227606766,0.0023305958333249,0.0473212138385776,0.4505134619843157,1
1671,0.1138804383275714,0.1094636002672055,0.9456919012270216,0.4738863154820442,0.9663728175263376,0.2246013597987743,0.0464172582318072,0.0045200454318707,0.0662924723566723,0.3027315519731124,1
1546,0.1001982217021682,0.1001952896323615,0.9499026483908,0.4217478834741214,0.9710803711220434,0.1779152706502324,0.0286365691785312,0.0008463720266247,0.028125007408778,0.2868063494761538,5
1157,0.167376431452276,0.1592961475835161,0.9211312991019682,0.4157988304269501,0.9508943519723474,0.172937055659818,0.0211985897703374,0.0005389440469675,0.0222462115131411,0.3334644302390069,3
1106,0.1811496301804219,0.1677332236243738,0.9174149083924396,0.3556024150931387,0.9770590441262648,0.1265238367078446,0.0322658143028165,0.0007455593091977,0.0263368088863393,0.3121345459980074,3
2066,0.4236243191156996,0.3760574623959555,0.8166923531079245,0.2703005152316055,0.9426426463185564,0.0732039359728984,0.0037502992631713,1.314698909493868e-05,0.0027540683704341,0.0559123871646758,3
1769,0.1399137418251857,0.139842595749517,0.9300858167328084,0.3209826585871759,0.9835586602499304,0.103058155435355,0.0119277177441985,0.0001106658389718,0.0095645805183048,0.1937406465795065,1
1555,0.4859890891981387,0.305800343350701,0.8635666347186153,0.3239057759712782,0.94778991201544,0.105000733783865,0.0508332874710795,0.0024786945069322,0.0488326665852544,0.3603336603238519,1
956,0.9867980646632826,0.6297422216435073,0.7193925141166618,0.2394405553285055,0.8427019087802159,0.0574626843116818,0.006305897687734,2.947235075477816e-05,0.0045136195315043,0.0918412567516176,2
2132,0.1302079764531981,0.129623467270806,0.9352443231956288,0.4084940637153834,0.961529905272716,0.1669149666613611,0.4075740061268735,0.215567336716214,0.4637496150099631,0.6245881807361602,1
1538,0.6373808716013561,0.4111281767975936,0.8148013036576529,0.2679842255400586,0.9436420130825812,0.0719603598289241,0.0164782476010921,0.0001991284221536,0.0131473515923526,0.2664282663005013,1
1193,0.1182328265628797,0.117954576065371,0.9410503074852232,0.3021209485248681,0.989527633432352,0.0913065165235126,0.2440449021114553,0.0417630609754605,0.2035552488884496,0.6256760660564129,4
2035,0.6384093674796711,0.4357424184064845,0.8016265642209344,0.3168679618192143,0.8771853595319823,0.1005583369258241,0.0111441326957311,0.0001244238046278,0.0101972194039375,0.2055523120955426,3
76,0.0606645461146247,0.060663511357834,0.969668347796762,0.4448964247692316,0.9832283722836428,0.1979515330712049,0.1104757150378965,0.0149178523347713,0.1212520944184646,0.4576215898911567,1
256,0.1005525304248071,0.1001860457389948,0.9499435315973722,0.4272090037405442,0.971264722882268,0.1825345767016749,0.1145155954422364,0.014736420569438,0.1205063639626065,0.4066478798375571,4
146,0.1139694882438326,0.1122032553259228,0.9440711952495996,0.4758042063935944,0.9550790917806466,0.2264157187317875,0.1472511083508624,0.0344183855323006,0.1846982017526994,0.4666635290747868,3
1871,0.0636538384757892,0.0622035558961728,0.9690427539763704,0.4488862382125999,0.9969069932839968,0.2015093667068397,0.0863296685024977,0.0093537186193462,0.0958033822970383,0.4935250183919176,5
1136,0.2423765006101297,0.2368030628966492,0.8821558123230234,0.3915544421719258,0.9074659595720184,0.1535699653553142,0.0072702706329024,6.227716411090442e-05,0.0069498460058081,0.1398361380952754,3
549,0.6121213232716345,0.4592161267916749,0.7853149812857694,0.2862209112246833,0.888347574333452,0.0820995966942545,0.0407036682578257,0.0012512193405875,0.0344083456810596,0.4024080420480587,2
2141,0.0932022762300967,0.0928888473942604,0.9535869191864532,0.3770565265239371,0.9940146960808268,0.1421924222750943,0.0083184227944628,9.509921914045178e-05,0.0087997218128915,0.1766058475771808,4
1283,0.1749625711305759,0.1576822360329047,0.9228400408224668,0.3842896997387757,0.9635609325941332,0.1477215330458517,0.0318169541235277,0.0012724572855059,0.0347074674022781,0.3529903164399554,1
1057,0.2312409710754251,0.2090707054089428,0.8975646725734991,0.4388821551108963,0.8972729141082161,0.1927524202222973,0.0119620513821374,0.0002757605247744,0.0156391768855958,0.2298385452320564,2
2199,0.3858205142706331,0.3119750715012845,0.8510863880466746,0.3464782686439984,0.947239962435571,0.1202302397167774,0.0140132456299312,0.0001501074009804,0.0112915172809787,0.2287037561796037,3
1940,0.2693821612276447,0.2627561028805334,0.8692827558892718,0.3857403312724793,0.9099553517392288,0.1488558878725219,0.1156795773459529,0.010570586677904,0.1019079856313783,0.6234562503530217,6
1123,0.4169495097668813,0.3383688586226708,0.8380461665119676,0.3189411673344788,0.9362259677743996,0.1017887320208021,0.0209017543772661,0.000442719287848,0.0200720189740538,0.2862415717667612,1
1479,0.1283856880984578,0.1281797062123749,0.935930717539533,0.5438944590478152,0.9376269058642214,0.2959156357757792,0.1532286238295172,0.0272024110185,0.1640872735054958,0.6207376690448472,5
573,0.2160378773046512,0.2001002586064735,0.90148074358718,0.3902879180253039,0.9476320361609762,0.1523547550997052,0.0621733036880404,0.0047771503091934,0.0681798250182405,0.3986501617521077,3
451,0.1876034144849176,0.1815719580238917,0.909804695817776,0.4744022437970213,0.8993139645358633,0.2251308275430414,0.0752419571372807,0.0103235268734027,0.1006982191117304,0.4349710473230642,1
1216,0.2866809625349598,0.2496251433582238,0.8787272098152267,0.3465198207945873,0.9433021432371758,0.1201405180673905,0.0041732096537489,2.314434623814345e-05,0.0039068239633723,0.0785804647219468,2
333,0.0876609784268934,0.0872023112756122,0.956444711077322,0.439774381145379,0.9783995020351544,0.1934359751359728,0.0493519431094688,0.0030146313253929,0.05395606455124,0.4357593830693298,1
1750,0.1141048598927833,0.1135477015682824,0.9432818650483088,0.4608654699914608,0.9485489692046686,0.2124276418571045,0.225083164959997,0.0569276691699922,0.2378246801998198,0.6185131393160855,2
1145,0.1029597331124667,0.1028065663307713,0.948612033512784,0.4999736480374228,0.972851978757346,0.2499946410392599,0.0820492511060772,0.0078756435766994,0.0878259755410321,0.4551460617943415,3
57,0.807828901077971,0.4827637623651002,0.78843322018753,0.3078589268059752,0.8447841920219269,0.0948975932100547,0.0195308278630816,0.0003631202673999,0.0180873661050538,0.2686596031639215,1
790,0.2174090435171368,0.1580156313092251,0.9261732234104562,0.4823823229063504,0.9184369073841916,0.2327746101024325,0.0209714283746086,0.001037970240447,0.0312515353515842,0.2823518930058745,4
2168,0.1429011028225508,0.1423285986538333,0.9288929510899552,0.3957960833224538,0.9624814358052376,0.1567525575364337,0.0082050094853565,8.993036040445377e-05,0.0085322102635723,0.1713067269297955,4
829,0.092025693665741,0.0919791200385616,0.954015097343437,0.5111149051948436,0.9514935247281112,0.2612568359544704,0.0087262233416615,0.0001067008890566,0.0093751102778814,0.1880950491895208,5
1080,0.1488914483778263,0.1473168053842359,0.926498864872643,0.3806648501983368,0.9718807547444815,0.1449394453001328,0.0593175083346759,0.0036574717794413,0.0595322287626973,0.4269485099929179,1
872,0.1400092161255272,0.1376835059238646,0.9313907073586792,0.3179787046941388,0.9865507682097302,0.1011256559150308,0.0497242358444018,0.0022846473639642,0.0468425752821822,0.4229551451504595,1
1541,0.1001244161595278,0.1001197383851838,0.9499405985848424,0.5715404979512997,0.9127618391797584,0.3266894911274468,0.4935558062304813,0.3622547789931274,0.6014726419432134,0.5600040804205849,5
1920,0.1088193298775287,0.1082498214213702,0.9459318030473588,0.4430180427100501,0.9797583722975798,0.1963054612636592,0.1657142395944045,0.0329529262471578,0.1807016952016012,0.502391101215158,5
874,0.7157323106756681,0.4760072529423519,0.785164542467869,0.2677715318000078,0.8988405005679145,0.0719281907649806,0.0300015493968185,0.0005396466884625,0.0222613407627935,0.3685515095193971,5
2113,0.6157249943013066,0.454404113846818,0.7884872490540946,0.3105328418366482,0.867730912619413,0.0965927758763391,0.0333149139899243,0.0008963819269353,0.0289725311842841,0.3961268007602579,1
1761,0.0912343727117518,0.0911643231102005,0.9544248434050548,0.4810746672053025,0.9834767673528018,0.2314339470000878,0.0825394790417482,0.0052158873757409,0.0712868217866449,0.5144766263752164,5
2174,0.9518325828737476,0.5896892405488007,0.739421382906001,0.2595390928068474,0.9016041604656851,0.0674581328452552,0.0338073789597829,0.0007140735074658,0.0257538500742442,0.359615520331081,5
14,0.1265691976119992,0.1202584572604405,0.94047930582589,0.4722652152442822,0.9454136105101244,0.2230838939222006,0.173336083024049,0.0594799146625787,0.2431198425854531,0.5048205990729056,1
1118,0.3486906621276895,0.2783299479390052,0.8674588376327647,0.3788702478029926,0.9035957164017554,0.1437498270462069,0.3587606198233195,0.1613224296835891,0.4010435990600344,0.6396786318135881,3
2265,0.5689244483593453,0.3834410030672617,0.8250185108256648,0.3751786647481766,0.8386647407634197,0.1410203575410371,0.0078649842687303,0.0001095613598785,0.0095121442371792,0.1903435748544972,1
252,0.0868708559971618,0.0868675138517049,0.9565665772886932,0.5149543198802394,0.9635644868367986,0.2652120618466831,0.1046243605437648,0.0156926685367248,0.1243868865724688,0.3828049925686012,5
697,0.0807642596184975,0.0805398980186413,0.9597523702484676,0.4611907399152188,0.9727984684229906,0.2127253674355944,0.5485843013993091,0.4989380685316633,0.7060579044412051,0.6280546290807338,3
1352,0.433321513860659,0.3227769885556558,0.849077140298653,0.3740602472271269,0.868249290497753,0.1400439695140687,0.0097933515363795,0.0001401783807396,0.0108804151893418,0.2181588657602407,4
2255,0.4289476877925471,0.3674265060125166,0.8223211614485546,0.2618251163760581,0.9539856002756923,0.0688160256171933,0.0239477922299552,0.0003365993395946,0.0173786166701929,0.3537539982189714,6
1063,0.0545897944500314,0.0545892026089162,0.9727054578796536,0.5624580395246648,0.9703302937979488,0.3163694143075747,0.2233838953155261,0.0841916977473417,0.2894394455326982,0.4759966818753246,1
1272,0.2422316561686782,0.2382579225042352,0.8812683202982038,0.3702097053973346,0.941223855954072,0.1372515447793678,0.0280841849823912,0.0007195869691966,0.0258568450903109,0.3299410433830163,4
461,0.3633058485556111,0.2394829987723907,0.8906719099811736,0.3401092044975119,0.9540732604385032,0.11577752550209,0.1146104025367716,0.0119570140631456,0.1084490877927281,0.5094291117096369,1
749,0.1927528170250795,0.1887842413611779,0.9059991817208736,0.3661688217169652,0.9599983812032638,0.134113291029526,0.1027868138638933,0.0075160998459106,0.0857746544074918,0.4778843576737712,4
2244,0.2345484659352176,0.2243056272448188,0.8888621131558838,0.3202094434610175,0.9748364745415474,0.1026607648436593,0.0076460384318745,6.66919596030379e-05,0.0072228833977001,0.1453914964031309,1
1278,0.0750257082427156,0.0749975204967197,0.9625040585262395,0.5483883469725879,0.9574747939809392,0.3007683959198744,0.0312290207629131,0.0014680521248931,0.0373528034088514,0.3485410164670026,5
199,0.1383904611894549,0.1377056298662514,0.931211885519288,0.402283722779178,0.9582038299446564,0.1619073649282953,0.2269312549312835,0.0732693028633194,0.2699447966685973,0.5542428234555825,3
1803,0.874594018275235,0.5530694716259094,0.7542954321388193,0.2774547590994409,0.8653055126031699,0.0770812335387415,0.0324937895499031,0.0006754490276166,0.0250208972714132,0.3288895383018264,1
2048,0.2467778799065607,0.238562428123322,0.881538164282873,0.3901702117828947,0.9388662442772404,0.1523425673109941,0.0189292021781106,0.0002849490081172,0.0159133470702122,0.3218413499189749,6
756,0.1972119625796318,0.188474322205326,0.9066276327166736,0.4866821121042074,0.8876149899887364,0.2369830972886618,0.04951103353839,0.0042569812155765,0.0643049537393455,0.3692858661116389,3
558,0.2471982086216803,0.2403822337435101,0.8804896130166487,0.3305836365501761,0.9529487330675144,0.1094668981807815,0.0105947899401174,0.0001244319731117,0.0101975844159542,0.2052320728238867,2
932,0.2370600093877439,0.2195624714287175,0.8919344392925052,0.3417597637703365,0.9554376090835844,0.1169134215772648,0.2649023478565975,0.0634838082905191,0.251202853915699,0.5998970626349653,3
2273,0.1318868052060717,0.1313686513172986,0.934367489730228,0.4843962606049962,0.956336192202694,0.2346993370099241,0.0041805349381993,5.3968724947268085e-05,0.0064088186237913,0.1276421123626606,5
368,0.4094398608269319,0.323116958775677,0.8467403328747023,0.2531043910512179,0.9648718713535158,0.0641364592405149,0.012687499879763,9.739483100428524e-05,0.0089162193845415,0.1817297887162042,2
1426,0.0823447349164638,0.0817274771112861,0.9591979872248748,0.6898655440936806,0.99020075740583,0.4759240251239747,0.0995797006484023,0.0296279146439944,0.1712905180639006,0.349845411714048,5
748,0.4578909829526537,0.350950933185399,0.8347586664236242,0.2976918163310861,0.9423059001704892,0.0887060683601421,0.0188156064497149,0.0002805445129079,0.0157824821661904,0.3192204924043674,1
2118,0.1778496881572256,0.163141290160342,0.9198741742903832,0.5068561792932449,0.8877660902450114,0.2569956367736141,0.0925262926435425,0.0156618410334571,0.1242636614164358,0.4123658643298439,3
2165,0.1293446892038729,0.1256369451931237,0.9375485344548862,0.4357693679641208,0.9573581134470196,0.1899573023178958,0.039499040586937,0.0021980374521202,0.0459271046078407,0.364982609823391,5
348,0.1460021759307851,0.118598201384959,0.9432824575550804,0.595839597475176,0.9589114719456524,0.3550713760553752,0.0761825361124774,0.0148436419094665,0.1209476218939243,0.3272952177486193,4
1779,0.2236008923326218,0.2151256396074658,0.8932761171835433,0.4026683980611305,0.9223813288717356,0.1622885368591531,0.0246930512243323,0.0007665250853974,0.0267181939314468,0.3244956024928355,3
1092,0.3190415178878331,0.2624878417956544,0.874119708329068,0.2664509473245414,0.9700273502105612,0.0710863928326448,0.0248555456441882,0.0004212091471369,0.0195545942054809,0.3965820992295236,4
812,0.1114617243259248,0.110664383092455,0.944743705362342,0.4450423604529239,0.9698074510424876,0.1980880403929529,0.0222887300752316,0.0004292853793056,0.0197503790689724,0.2600455221685386,1
335,0.2438504587349743,0.2358132318874689,0.8828957374888515,0.3551967775965707,0.9478108529451824,0.1263039532690636,0.0061057716480523,5.737944070633391e-05,0.0066355479082092,0.1330260546404952,1
1008,0.6030847809788715,0.4199101033720642,0.8075315626687827,0.298456787189208,0.9011086980451076,0.0891972853041593,0.0199546272646422,0.0003145509140153,0.0167678998307965,0.2640899640463741,2
1138,0.1415895858242889,0.1374359636757971,0.9316923491888788,0.3935403846280281,0.9635144562806268,0.154904919548772,0.3648465134397722,0.141488155338509,0.3755173028067553,0.7340886555652507,1
1986,0.0976996374734369,0.0976454567110452,0.9511826897207164,0.4273642287309739,0.9840553902418064,0.1826573309412492,0.1665466369592102,0.0230275685335964,0.1508910130629579,0.6249970834945301,4
1204,0.156762065193144,0.1452441242678983,0.928470907466573,0.4576043830911822,0.9392496300454328,0.2094590823159353,0.0101397968615713,0.0001987598175272,0.0131343053045608,0.2625951873566964,3
481,0.1564684802724738,0.1523018757977996,0.9242635466064304,0.491849848465248,0.9756042886388744,0.241956885622335,0.0154799217500322,0.0004870405775483,0.0211000251987117,0.273351167858126,5
242,0.2951689209287496,0.2718640629545485,0.8662863327958292,0.4516782341416333,0.8523789581081853,0.2041591311979784,0.0274360434756701,0.0013373971004753,0.0356069458945157,0.334322371722085,1
1918,0.5000182119005239,0.4014918231372741,0.8087199551277773,0.3005914806228265,0.8990195302588405,0.0905538146627064,0.0087669083601369,7.360723219648345e-05,0.0076332555480205,0.1540891100026097,3
1217,0.1286385939800025,0.1285108989897197,0.9357538008269536,0.2502987838551649,0.9962196532621476,0.0626598004273482,0.2876752206097815,0.0440289816146831,0.2090314460549401,0.7083731648062022,3
577,0.2397735613108191,0.2148436031499535,0.8949994472500631,0.2958909156067421,0.9768784080900818,0.0876278814217057,0.0241050999143846,0.0004391338656924,0.0199866573097846,0.3594150461839275,1
1371,0.3082603144280163,0.2451869444329592,0.8832912521731366,0.3923091528136187,0.931240074992047,0.1539580722822402,0.0625164623044615,0.0054855821195453,0.0731321293611107,0.3924535423205551,1
2,0.2279233309623434,0.2167488888567451,0.8927380900254338,0.2700931737135528,0.981335052534067,0.0730050558884217,0.0261082482893391,0.0003707647216721,0.0182868263763742,0.3729276220142851,3
1313,0.2550028186377022,0.2408638787569202,0.8809763125964363,0.3211934509889583,0.9598263298544664,0.103263269226894,0.032177082163427,0.0008990857413507,0.0290176715469684,0.381633871879085,3
2160,0.1734185699341934,0.1675162930779105,0.9168314979270676,0.4253852771870621,0.9537807014590812,0.1810398519480872,0.0024572475369125,1.996171996709039e-05,0.0035713956277697,0.0710598059509742,4
951,0.1275796384983805,0.1274399115001137,0.93629401694977,0.3894764173551973,0.9725215852225468,0.151717611907524,0.1888121001512439,0.0423567523694562,0.2050041348726703,0.6157923285826848,2
1948,0.2656466849438936,0.2426014826196767,0.8808774579508117,0.3749633910263826,0.917145487158436,0.1406933435454784,0.177630281037429,0.0347393011633278,0.1855619567388412,0.5532958274050678,1
1665,0.1513695257517224,0.1391265259750941,0.9315794350384896,0.5093355074026467,0.9422291648159462,0.259502663088654,0.0129523168927724,0.0003798909787338,0.0185222835322968,0.1874446176640714,5
2011,0.1035182294015276,0.1031009100975209,0.9484891332842827,0.4834268571724954,0.9567216800551124,0.2337287645361915,0.1402316132042179,0.0365086616968675,0.1902542218479106,0.4747558802626481,1
2105,0.0800168681765069,0.0800168681765069,0.9599915659117466,0.5694669101452441,0.9728389191980248,0.3243108489251205,0.1446738070284054,0.0313969359871842,0.1763597625466198,0.462456111545233,6
1174,0.3266309885962039,0.2772634243352461,0.866249292484971,0.282293006308536,0.9690249115526084,0.0797857053527225,0.0519542064992314,0.0019457592461835,0.0431525111122598,0.4447415197837677,2
1366,0.3804600076972237,0.3128696233306418,0.8502081366218079,0.2996422665968774,0.9435236648186888,0.0899371542988335,0.0235627183615022,0.0003809191193153,0.0185486319164625,0.3206704258914456,1
79,0.2485530610735969,0.2416341644636924,0.8798748074291443,0.2691802127156469,0.9801793241183644,0.0725396457584798,0.012984919566164,8.85723329377082e-05,0.0084606735388342,0.1731826003513603,3
2137,0.1269421591649229,0.1248789589638353,0.9377616831205275,0.365047739780499,0.9784544127670576,0.1332871908590168,0.174630041815023,0.0317733610044138,0.1774198509704046,0.5237141736776437,3
1832,0.2765405034941899,0.2656090648253674,0.8682859588649369,0.3234713263737687,0.95400054469784,0.1047806720548906,0.0041682322237595,2.611774563712753e-05,0.0042007450143439,0.0843105050362364,1
1124,0.2205932280576127,0.2126652235224654,0.8944151550310154,0.2707183232323051,0.981035838178646,0.0733638316549053,0.0091693114527599,5.584218913714792e-05,0.0065342012310782,0.1330460909762307,3
1661,0.5081218550883874,0.3560829846253822,0.8357815938480884,0.3067782697770778,0.9010103627782736,0.0942799491528849,0.0029303297128217,1.407172284008178e-05,0.0028750608997177,0.0576924367919177,1
214,0.2309812804849427,0.1983421514994328,0.903899347238974,0.3988095405155976,0.9588330684560344,0.1591039228315696,0.0321319758555208,0.0013989186380949,0.0364391573454913,0.3388960941344039,4
