,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM,Standard Deviation,RMS,Label
207,29.2679863,2.284354777,0.530407816,0.088529269,0.853010128,0.007837431,0.000345481,0.000345817,1
71,1.930731455,0.833290256,0.670730267,0.094096601,0.991041177,0.00885417,0.000367248,0.000367565,1
1,56.29716981,3.284961154,0.370477939,0.044620854,0.938320728,0.001991021,0.000173631,0.0001743,1
91,4.095794393,1.229231568,0.569868285,0.069519872,0.99359675,0.004833013,0.000271133,0.000271562,1
208,9.841614907,1.565217391,0.513546059,0.080352778,0.956542548,0.006456569,0.000313507,0.000313878,1
233,20.92959964,1.623106913,0.574446311,0.102640076,0.935689243,0.010534985,0.000400647,0.000400938,2
128,4.673319328,1.348856209,0.535133728,0.088257522,0.96773368,0.00778939,0.000344418,0.000344756,1
22,19.58312693,2.118885449,0.457228501,0.053091659,0.961605994,0.002818724,0.000206827,0.000207389,1
231,17.16272321,2.053348214,0.449278415,0.060887399,0.942875665,0.003707275,0.000237351,0.000237841,1
114,10.84190004,1.813612194,0.481694561,0.047311149,0.995865783,0.002238345,0.000184178,0.000184809,2
148,35.59363354,3.35015528,0.330468041,0.033484613,0.976687034,0.001121219,0.000129906,0.000130799,3
204,17.75954089,2.172883788,0.440182497,0.044880207,0.979399548,0.002014233,0.000174648,0.000175313,2
177,3.819444444,1.165849673,0.589904696,0.083291272,0.986911508,0.006937436,0.000324999,0.000325357,1
257,30.15798306,2.458104047,0.403038629,0.038301905,0.976556982,0.001467036,0.000148837,0.000149617,2
243,22.41743827,2.274884259,0.462009466,0.052630628,0.969202302,0.002769983,0.000205021,0.000205588,2
113,30.1627907,2.078887369,0.499231028,0.074234286,0.91915907,0.005510729,0.000289576,0.000289978,2
57,48.01268509,2.288989345,0.552138104,0.074494278,0.910298849,0.005549397,0.000290593,0.000290993,2
42,48.61491482,3.396014143,0.372413579,0.047003395,0.953397379,0.002209319,0.000182972,0.000183607,2
236,18.02353952,2.354295533,0.416782689,0.043477836,0.981927772,0.001890322,0.000169148,0.000169835,2
97,47.9090411,3.428219178,0.37284529,0.043139268,0.944438536,0.001860996,0.000167821,0.000168513,3
238,18.62667136,1.951794511,0.498209053,0.06646113,0.949711541,0.004417082,0.000259165,0.000259614,3
34,4.295111111,1.420888889,0.514268025,0.074426864,0.991118499,0.005539358,0.000290329,0.00029073,1
7,100.7467127,4.558086785,0.294800249,0.030342397,0.9814679,0.000920661,0.000117539,0.000118525,3
101,18.94505929,1.809881423,0.500829946,0.0656995,0.977800458,0.004316424,0.000256185,0.000256639,1
166,128.57,7.414,0.171761939,0.044966654,0.831710166,0.002022,0.000174987,0.000175651,2
33,4.563492063,1.510912698,0.486170473,0.07393099,0.988197719,0.005465791,0.00028839,0.000288793,1
17,7.344597592,1.41484474,0.52104504,0.051737664,0.991792054,0.002676786,0.000201523,0.0002021,1
87,18.96907029,2.292789116,0.423951218,0.046650335,0.990197259,0.002176254,0.000181588,0.000182228,3
225,21.9954416,3.220512821,0.318544475,0.049914904,0.988331905,0.002491498,0.000194382,0.00019498,2
174,82.58770686,4.38250591,0.377867799,0.058041556,0.951747885,0.003368822,0.000226211,0.000226725,2
200,29.77161814,2.67211329,0.418413625,0.037664554,0.982505915,0.001418619,0.000146334,0.000147127,2
6,28.54485811,2.976412393,0.346305185,0.037041377,0.970170722,0.001372064,0.000143886,0.000144693,1
137,32.48721625,2.0609319,0.500533474,0.093885147,0.887103987,0.008814421,0.000366421,0.000366739,2
12,18.67582418,2.146886447,0.43459512,0.055018334,0.971508864,0.003027017,0.000214373,0.000214915,1
258,17.49651538,1.698623151,0.501634394,0.050669969,0.992450923,0.002567446,0.000197341,0.00019793,1
182,31.88915094,2.839285714,0.408039909,0.058963227,0.947117968,0.003476662,0.000229819,0.000230325,2
191,27.87233316,2.65437788,0.383959474,0.042775692,0.968947391,0.00182976,0.000166394,0.000167093,2
187,9.443692543,2.034090909,0.42963131,0.040555551,0.997169215,0.001644753,0.000157684,0.00015842,2
237,26.44122024,3.173958333,0.339735687,0.039969418,0.967720983,0.001597554,0.000155383,0.000156131,2
50,17.02198012,2.790519878,0.336387006,0.037110409,0.992211554,0.001377182,0.000144157,0.000144963,1
14,8.994347826,2.086086957,0.412525151,0.05704917,0.993898362,0.003254608,0.000222325,0.000222848,1
