0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Low,Low,Low,Medium,Low,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1.0
Low,Low,Low,Medium,Low,Medium,High,Low,Low,Medium,High,Medium,Low,Medium,Medium,High,Medium,Medium,Low,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1.0
High,Low,Low,Medium,Low,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,Low,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Low,Medium,1.0
High,Low,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1.0
Low,Low,Low,Medium,High,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,1.0
High,Low,Low,Medium,Low,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1.0
High,High,High,High,Low,Medium,Low,Medium,High,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,2.0
Low,Low,Low,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,1.0
High,Low,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1.0
Low,High,Medium,Low,Low,Medium,Low,Low,Medium,Medium,Low,Low,High,Medium,Medium,Low,High,Medium,High,Medium,1.0
High,Low,Low,Medium,Low,Medium,Medium,Low,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,1.0
High,Low,Low,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,2.0
High,Low,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,High,High,Medium,Medium,Low,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,1.0
High,Low,Low,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,1.0
Low,Low,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,1.0
