0,1,2
-4531095672132.055,1965313106017.153,11019436085123.775
-5638408381234.146,8682222233768.1875,919895617352.5082
-3591821265657.0537,1697025413487.505,13429089522254.098
-249142681497.04373,-7454672188419.305,6375062240136.671
-1883120337519.6787,7584638866288.333,21236756714064.01
-3136339046133.702,2901347502659.267,15977441178471.52
-4793687596626.007,1123805473954.4097,10738653602686.209
-9380116775975.74,-1323582508164.0537,6580671682970.68
-20884547510706.543,-13021151351102.9,1977148156945.8445
-1699614247660.0715,10284985236125.92,22270202563743.406
-7339778812797.486,-1289340821320.842,4876259525460.907
-5704065596207.761,227643253833.20142,6161152045134.882
-2368548200223.316,5086810446520.357,13915327445879.662
-1146943349823.86,16144818147900.12,26256793130852.996
-3557161927421.7686,3295594984612.478,9571213627012.826
-1612855476891.2905,8939838788506.324,19575243559340.543
2.4418595515699214e-63,1.0,
