0,1,2,3,4,5,6,7,8,9,10
High,Medium,Low,Very Low,Medium,Very Low,Very Low,Very Low,Very Low,Low,1.0
Very Low,Very Low,Very High,High,Very High,Low,Medium,High,Low,High,3.0
High,High,Very Low,Very Low,Low,Very Low,Low,Very Low,High,Medium,5.0
Very Low,Low,High,High,High,High,Very Low,Very Low,Very Low,Very Low,3.0
Medium,Medium,Medium,Low,Medium,Very High,Very Low,Very Low,Very Low,Medium,5.0
Very Low,Very Low,High,Low,Very High,High,Very Low,Very Low,High,Medium,6.0
Low,Low,Medium,Very High,Very High,Very Low,Medium,High,Low,Very High,3.0
Very Low,Very Low,High,Low,Very High,Very High,Medium,Very Low,Low,High,3.0
Very Low,Very Low,Very High,High,Very High,High,Very Low,Very Low,Very Low,Medium,4.0
Medium,High,Low,Very High,Low,Very Low,Very Low,Very Low,Very Low,Very Low,1.0
Very High,Very High,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,3.0
Low,Medium,Low,Very Low,High,Very Low,Medium,Very Low,High,Very High,1.0
Low,Medium,Low,Very Low,Medium,Very Low,Very Low,Very Low,Very Low,Very Low,1.0
Low,Low,Medium,Low,High,Very High,Very Low,Very Low,Very Low,Low,1.0
Low,Low,Medium,Very High,High,Very Low,Medium,Medium,Low,Very High,5.0
Very Low,Very Low,Very High,Low,Very High,Very High,Very Low,Very Low,Very Low,Medium,4.0
Very High,Very High,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,4.0
Very Low,Very Low,High,Low,Very High,Very High,Very Low,Very Low,Very Low,Low,3.0
Low,Medium,Low,Very Low,High,Very Low,Very Low,Very Low,Very Low,Low,1.0
Medium,High,Very Low,Very Low,High,Very Low,Low,Very Low,Very Low,Low,1.0
Low,Medium,Low,Low,Medium,Very High,Very Low,Very Low,Very Low,Very Low,1.0
Medium,High,Very Low,Very Low,Low,Very Low,Low,Very Low,Very Low,Medium,5.0
Very Low,Very Low,Very High,Medium,Very High,Medium,Very Low,Very Low,Very Low,Very Low,1.0
Very Low,Very Low,High,Very High,Very High,Very Low,Medium,High,Low,Very High,3.0
Very Low,Low,Medium,Low,High,Very High,Very Low,Very Low,Very Low,Very Low,4.0
Very Low,Low,Medium,Very High,Very High,Very Low,Medium,Very Low,High,High,3.0
Medium,Medium,Medium,Very High,High,Very Low,Very Low,Very Low,Very Low,Very Low,3.0
Low,Low,Low,Very High,Very High,Very Low,Very Low,Very Low,Very Low,Very Low,3.0
