0,1,2,3,4,5,6,7,8
Medium,High,Very Low,Very Low,High,Very Low,Very Low,Very Low,2.0
Medium,Medium,Low,Very Low,High,Very Low,Very Low,Very Low,3.0
Low,Low,Medium,Very Low,Very High,Very Low,Low,Low,2.0
Medium,Medium,Medium,Very Low,High,Very Low,Low,Low,2.0
Very High,High,Low,Low,Medium,Very Low,Low,Low,2.0
Medium,Low,High,Low,Medium,Low,Low,Low,2.0
Medium,Medium,Low,Low,Low,Very Low,Low,Low,1.0
Low,Low,Low,Low,High,Very Low,Low,Low,1.0
Medium,High,Low,Very Low,High,Very Low,Very Low,Very Low,2.0
Very Low,Very Low,Medium,Low,Very High,Very Low,Low,Low,2.0
Medium,Low,Medium,Very Low,High,Very Low,Low,Low,2.0
Very Low,Very Low,Very High,Very High,Medium,Very High,Very High,Very High,2.0
Low,Medium,Medium,Low,High,Very Low,Low,Low,2.0
Low,Low,High,Medium,Medium,Low,Medium,Medium,2.0
Low,Medium,Very Low,Very Low,Very High,Very Low,Very Low,Very Low,2.0
Low,Medium,Low,Very Low,Very High,Very Low,Very Low,Very Low,1.0
Medium,Medium,Medium,Very Low,Very High,Very Low,Very Low,Very Low,3.0
Very Low,Very Low,Very High,High,High,Medium,High,High,2.0
Medium,Low,Medium,Very Low,High,Very Low,Very Low,Very Low,3.0
Low,Low,Low,Very Low,High,Very Low,Very Low,Very Low,1.0
Low,Very Low,High,Medium,Very Low,Low,Medium,Medium,1.0
Medium,Medium,Medium,Very Low,High,Very Low,Very Low,Very Low,2.0
Low,Low,Medium,Medium,Medium,Low,Low,Low,2.0
Very Low,Very Low,High,Very Low,Very High,Very Low,Low,Low,2.0
Very Low,Very Low,High,Low,Very High,Low,Low,Low,2.0
Low,Very Low,High,Medium,High,Low,Medium,Medium,2.0
Medium,Medium,Very Low,Very Low,High,Very Low,Low,Low,2.0
Very Low,Very Low,Very High,Low,Very High,Low,Low,Low,1.0
Medium,Medium,Medium,Low,Medium,Very Low,Low,Low,2.0
Low,Medium,Medium,Very Low,High,Very Low,Low,Low,2.0
High,Medium,Medium,Low,Low,Very Low,Low,Low,2.0
Very Low,Very Low,High,Medium,Medium,Low,Low,Low,2.0
Low,Low,High,Low,Very High,Very Low,Low,Low,2.0
High,High,Very Low,Very Low,High,Very Low,Very Low,Very Low,3.0
Very High,High,Medium,Medium,Medium,Low,Low,Low,1.0
Low,Very Low,High,Very Low,Very High,Very Low,Low,Low,2.0
High,High,Low,Very Low,Low,Very Low,Low,Low,2.0
Low,Low,High,Very Low,Very High,Very Low,Very Low,Very Low,2.0
Low,Low,Medium,Low,Medium,Low,Low,Low,2.0
Very Low,Very Low,Very High,Medium,Very High,Low,Low,Low,2.0
Medium,Low,Medium,Low,Medium,Very Low,Low,Low,1.0
Medium,Medium,Medium,Low,High,Very Low,Low,Low,2.0
Very Low,Very Low,Medium,Very Low,Very High,Very Low,Low,Low,1.0
Low,Low,High,Medium,Low,Low,Low,Low,1.0
Low,Low,Medium,Low,Very High,Very Low,Low,Low,2.0
Very Low,Low,Medium,Low,High,Very Low,Low,Low,1.0
Very Low,Very Low,Very High,Medium,High,Low,Medium,Medium,2.0
Very Low,Very Low,High,Medium,Very High,Low,Low,Low,1.0
Low,Medium,Medium,Very Low,Very High,Very Low,Very Low,Very Low,2.0
Very Low,Low,Medium,Low,Very High,Very Low,Low,Low,1.0
Low,Low,Low,Low,Medium,Very Low,Low,Low,2.0
Medium,Medium,Very Low,Very Low,Very High,Very Low,Very Low,Very Low,3.0
Low,Very Low,Very High,Medium,High,Low,Medium,Medium,1.0
Medium,Medium,Low,Very Low,Very High,Very Low,Very Low,Very Low,3.0
Low,Low,High,Low,High,Very Low,Low,Low,2.0
Low,Low,High,Medium,Medium,Low,Low,Low,1.0
Very Low,Low,Low,Very Low,Very High,Very Low,Very Low,Very Low,1.0
High,High,Low,Low,High,Very Low,Low,Low,2.0
Very Low,Low,Medium,Very Low,Very High,Very Low,Very Low,Very Low,2.0
Very Low,Very Low,High,Very Low,Very High,Very Low,Very Low,Very Low,2.0
Low,Low,Medium,Very Low,High,Very Low,Very Low,Very Low,2.0
Low,Low,Low,Very Low,Very High,Very Low,Very Low,Very Low,2.0
Medium,Medium,High,Medium,High,Low,Medium,Medium,2.0
Low,Very Low,High,Low,Very High,Very Low,Low,Low,1.0
Very Low,Very Low,High,Medium,High,Low,Medium,Medium,2.0
Very Low,Very Low,Medium,Low,Very High,Low,Low,Low,1.0
Low,Very Low,High,Medium,High,Low,Low,Low,2.0
Low,Low,Medium,Low,High,Very Low,Low,Low,2.0
High,High,Low,Very Low,High,Very Low,Very Low,Very Low,2.0
Low,Low,High,Medium,Low,Low,Medium,Medium,1.0
Medium,Low,Medium,Low,High,Very Low,Low,Low,2.0
Medium,Medium,Low,Very Low,Very High,Very Low,Low,Low,2.0
Very Low,Very Low,Very High,High,High,Medium,Medium,Medium,2.0
High,High,Very Low,Very Low,Very High,Very Low,Very Low,Very Low,3.0
Low,Very Low,Very High,Low,Very High,Very Low,Low,Low,2.0
Very Low,Very Low,Very High,Low,Very High,Very Low,Low,Low,1.0
Medium,Medium,Low,Very Low,High,Very Low,Low,Low,2.0
Very Low,Very Low,Medium,Very Low,Very High,Very Low,Very Low,Very Low,2.0
Very Low,Low,Medium,Very Low,Very High,Very Low,Low,Low,2.0
Low,Low,High,Low,High,Low,Low,Low,2.0
Very High,Very High,Very Low,Very Low,High,Very Low,Very Low,Very Low,2.0
Low,Low,Low,Very Low,Very High,Very Low,Low,Low,1.0
Medium,Medium,Low,Very Low,Medium,Very Low,Very Low,Very Low,2.0
High,Medium,Low,Very Low,High,Very Low,Very Low,Very Low,2.0
Low,Medium,Low,Very Low,High,Very Low,Very Low,Very Low,2.0
Low,Very Low,High,Low,High,Low,Low,Low,2.0
Low,High,Very Low,Low,High,Very Low,Low,Low,2.0
Very Low,Very Low,High,Low,High,Low,Low,Low,2.0
Very Low,Low,Very Low,Very Low,Very High,Very Low,Low,Low,2.0
High,Very High,Very Low,Very Low,Low,Very Low,Very Low,Very Low,2.0
Medium,Low,Medium,Low,Low,Very Low,Low,Low,2.0
Low,Low,Medium,Very Low,Very High,Very Low,Very Low,Very Low,2.0
Medium,Medium,Low,Very Low,Medium,Very Low,Low,Low,2.0
Low,Medium,Low,Very Low,Very High,Very Low,Low,Low,2.0
Low,Medium,Medium,Low,Very High,Very Low,Low,Low,2.0
Medium,High,Very Low,Very Low,Very High,Very Low,Very Low,Very Low,3.0
Very Low,Very Low,Very High,Medium,Very High,Low,Medium,Medium,1.0
Very Low,Very Low,High,Medium,High,Low,Low,Low,2.0
Low,Very Low,High,Low,High,Very Low,Low,Low,3.0
Very Low,Very Low,High,Low,High,Very Low,Low,Low,2.0
Very Low,Low,Low,Low,Very High,Very Low,Low,Low,2.0
Very Low,Very Low,High,Low,Very High,Very Low,Low,Low,1.0
