0,1,2,3,4
Very Low,High,High,Very Low,2.0
Medium,Very Low,Low,Medium,2.0
Low,High,High,Medium,2.0
Very Low,Very Low,Very Low,Very Low,1.0
Very High,High,High,Very High,1.0
Medium,High,Very High,Medium,1.0
Very Low,Medium,Medium,Very Low,1.0
High,Very High,Very High,Very High,1.0
Very Low,High,Very High,Low,1.0
Low,Very High,Very High,Low,1.0
Very High,Very Low,Low,High,1.0
High,Very Low,Very Low,Medium,2.0
Low,Very High,Very High,High,1.0
High,Very Low,Low,Medium,1.0
Low,Very Low,Low,Low,2.0
Medium,Medium,High,Medium,2.0
Medium,Low,Medium,Medium,1.0
Very High,Very Low,Very Low,High,1.0
Low,Low,Low,Very Low,2.0
Medium,Very Low,Low,Low,1.0
High,Very Low,Low,High,2.0
Very Low,Low,Medium,Very Low,1.0
Very High,Low,Low,High,1.0
High,High,Very High,High,1.0
High,Low,Medium,Medium,1.0
Very High,Medium,High,Very High,1.0
Medium,Medium,Medium,Medium,2.0
Medium,Low,Low,Low,2.0
High,Medium,Medium,High,2.0
Very Low,High,High,Low,2.0
Low,Low,Medium,Low,1.0
Very Low,Medium,Medium,Low,2.0
Very High,High,High,High,1.0
High,High,High,High,2.0
High,Low,Low,Medium,1.0
High,Medium,High,High,1.0
High,High,Medium,High,2.0
Low,High,Very High,Medium,1.0
Medium,High,Very High,High,1.0
Low,Low,Low,Low,1.0
Very High,Low,Medium,High,2.0
Very High,Low,Medium,Very High,1.0
Low,Medium,High,Low,2.0
Low,Very Low,Low,Very Low,2.0
Very High,Medium,Medium,Very High,1.0
High,High,High,Very High,2.0
Medium,Very High,Very High,Medium,2.0
Very High,Medium,Medium,High,2.0
Very Low,Low,Medium,Low,2.0
Medium,High,High,Medium,1.0
Low,High,High,Low,2.0
Very High,Very Low,Very Low,Very High,1.0
Medium,Medium,High,High,2.0
Low,Very Low,Very Low,Very Low,1.0
Very Low,Very Low,Low,Very Low,1.0
Very High,Medium,High,High,1.0
Medium,High,High,High,2.0
High,Very High,Very High,High,1.0
High,Medium,Medium,Medium,2.0
Low,High,Very High,Low,2.0
Medium,Very Low,Very Low,Low,1.0
Very Low,Low,Low,Very Low,1.0
High,Low,Medium,High,1.0
Low,Medium,Medium,Medium,1.0
Medium,Low,Low,Medium,2.0
Low,Very High,Very High,Medium,1.0
Low,Medium,Medium,Low,2.0
Low,Very Low,Very Low,Low,1.0
Medium,Low,Medium,Low,2.0
Medium,Very High,Very High,High,1.0
Very High,Very Low,Low,Very High,1.0
Low,Low,Medium,Medium,1.0
Very High,High,Very High,Very High,1.0
Very Low,Low,Low,Low,2.0
High,Low,Low,High,1.0
Medium,Very Low,Very Low,Medium,1.0
Very Low,Very High,Very High,Low,1.0
High,Very Low,Very Low,High,1.0
Very Low,Medium,High,Very Low,1.0
Very High,Very High,Very High,Very High,2.0
Low,Medium,High,Medium,2.0
Very Low,Medium,High,Low,2.0
Very High,Low,Low,Very High,1.0
High,High,Very High,Very High,1.0
