table,ran,epsilon,model,modality,modality_key,folds,selected_feature_count,accuracy_pct,accuracy_std_pct,sensitivity_pct,sensitivity_std_pct,specificity_pct,specificity_std_pct,f1_pct,f1_std_pct,auc_roc_pct,auc_roc_std_pct,auc_pr_pct,auc_pr_std_pct,train_time_s,train_time_std_s,test_time_s,test_time_std_s,algorithm_total_time_s,algorithm_total_time_std_s,end_to_end_time_s,end_to_end_time_std_s
Bang 3.2,15,0.2,FKG-UM,Du lieu dang bang full,table,5,13.0,91.06,1.0360501918343514,21.42105263157894,17.43368916797417,97.11748820427269,2.26452243996281,24.042042042042038,17.93359350320231,72.21071472165475,8.38347722951442,24.2743804377043,13.0383049019666,3.547576683582156,1.02908485780477,6.8139678001403805,0.4123332670152149,7.461346530914307,0.4203320185011805,10.361544483722536,1.1186940261913043
Bang 3.2,15,0.2,FKG-UM,Du lieu anh,image,5,7.0,70.62,10.810372334013294,36.78947368421053,25.91564196802692,73.53311898023055,13.684177582157309,15.14320470815322,7.92122754021111,55.5594636884291,9.62659151630373,11.63309039495963,3.7754339351318,2.5177028350939508,0.1146387452885428,4.702931547164917,0.1535996227729228,4.738890314102173,0.1536180353906866,7.220634382258868,0.2514988184908917
Bang 3.2,15,0.2,FKG-MM,Du lieu anh+bang,fusion,5,16.0,91.642,0.4435312841277407,6.21052631578947,5.791267664633961,99.10151939168028,0.63274558354831,10.15651015651015,8.257770430720191,65.38335335635729,7.24415844853524,14.4316895116596,3.1710480070318203,5.345535269012908,1.8773310370718488,11.2369234085083,0.4638764587549618,12.440994215011596,0.4773560603050824,16.58245867752121,1.604814099069933
Bang 3.2,15,0.2,FKG-MM,Fusion Filter,fusion_filter,5,16.0,91.556,0.6119885619846192,3.10526315789473,2.83673957436039,99.2812955804251,0.67947949808125,5.48484848484848,5.04160832559646,61.65084068943626,4.46183235037942,12.071122196346721,3.10125588381687,5.377127970953007,0.206797540744556,12.44758529663086,0.8215739787788363,13.78594388961792,0.7878461645824798,17.824713267583867,0.9013416899818906
Bang 3.2,15,0.2,FKG-MM,Fusion Hadamard,fusion_hadamard,5,5.0,76.074,7.208656601614478,30.94736842105263,16.24517827463014,80.01797853288227,8.46603006445744,16.84680134680134,8.64289908992699,57.504156272353804,7.65464982445377,11.781797433673571,2.99185200042237,2.466439692096901,1.678614683404057,4.378277587890625,0.3267956870889782,4.38733434677124,0.3266296850089767,6.844717279987526,1.4989718611226288
Bang 3.2,15,0.2,FKG-MM,Fusion Tensor,fusion_tensor,5,30.0,91.64,0.5580322571321538,0.0,0.0,99.63923199217317,0.5873943968948401,0.0,0.0,50.22482488982093,0.42082408313602,8.09047828405828,0.24186113542821,57.54801991076384,4.188209855694266,43.52836093902588,7.400899599457844,96.1808111190796,8.471056830525498,101.07638084978971,11.577658843933172
Bang 3.2,15,0.2,FKG-MM,Fusion Wrapper,fusion_wrapper,5,5.6,80.14,7.442875788295815,38.0,14.971811001136079,83.81727851260956,7.99371521142203,25.19110610751477,12.73100624620771,65.86532309785098,12.53446114474367,20.8914403963757,10.61531865340058,28.03161815915373,3.718228066185008,3.754447269439697,0.1593584783239365,3.772717571258545,0.1669236820104401,31.786065428593428,3.780482553888583
Bang 3.3,15,0.3,FKG-UM,Du lieu dang bang full,table,5,13.0,90.482,1.7555682840607487,23.78947368421052,24.5383977469785,96.31112495528218,3.4380448285933904,23.7998474446987,18.21656734464355,73.59580863503936,7.69255485802033,24.47187199422055,12.56929954137429,3.5552950559271266,1.0364082789075606,6.847592782974243,0.453530002636575,7.487957763671875,0.4753807592111615,10.40288783890137,1.1629052261706951
Bang 3.3,15,0.3,FKG-UM,Du lieu anh,image,5,7.0,65.15,3.918679624567436,39.05263157894737,19.30277060187441,67.41419889138169,5.03341762673311,14.899026771330481,6.2577899087867594,56.66364104357482,11.40861215959969,12.758092042719571,5.06216254184172,2.5215742282976863,0.113873578253208,4.633548641204834,0.1634201270042064,4.668622875213623,0.1620347988097399,7.15512286950252,0.2665740579787475
Bang 3.3,15,0.3,FKG-MM,Du lieu anh+bang,fusion,5,16.0,91.558,0.4731490251495804,2.05263157894736,2.8122210541879,99.37098167907979,0.67968003587617,3.57142857142857,4.90845907811626,60.670701161916504,6.77890983561117,11.06136634209828,2.5277991031461298,5.359897270431975,1.8783166895669672,11.08678879737854,0.4123019342299712,12.301319456100464,0.4206378525850083,16.446686067810514,1.5185024065867558
Bang 3.3,15,0.3,FKG-MM,Fusion Filter,fusion_filter,5,16.0,91.64,0.3349626844888874,5.1578947368421,5.1352888074317695,99.19039750746424,0.49178760381299996,8.55072463768115,8.51873159981773,58.32668120400839,2.93157043570123,11.592931081790251,3.1550248283268,5.415156974096317,0.2267141879913989,12.23863925933838,0.94513562051994,13.606387329101562,0.9230092768119458,17.653796233434697,1.0210385420984986
Bang 3.3,15,0.3,FKG-MM,Fusion Hadamard,fusion_hadamard,5,5.0,74.09400000000001,7.772977550462882,32.89473684210526,13.84270561035517,77.67403484892273,9.38040656758114,16.435660311601442,4.55782500125939,57.830016889805314,5.26744315370622,11.202632730261811,2.16532976609029,2.466290346698952,1.6781485628221222,4.605220603942871,0.511422437181503,4.614269256591797,0.5116572957271724,7.071510950641823,1.3140715251756083
Bang 3.3,15,0.3,FKG-MM,Fusion Tensor,fusion_tensor,5,30.0,92.054,0.1983179265724631,1.0,2.2360679774997902,100.0,0.0,1.9047619047619,4.25917709999959,50.902550822031166,1.09600351290588,9.00736044748498,2.1761622239346403,57.89892594904813,4.3848773458882695,49.24151158332825,17.298059948910243,102.241885137558,18.56504091625036,107.14043753237638,21.67513468579049
Bang 3.3,15,0.3,FKG-MM,Fusion Wrapper,fusion_wrapper,5,5.6,78.398,7.095200490472415,28.78947368421052,10.56178235608915,82.73334755529427,7.6997001584516696,18.83322954686521,9.206274816059281,59.33428424537214,11.11817003151306,18.30363266527648,7.91311842263906,28.033293478825364,3.720002926334109,3.706585741043091,0.0935454207852079,3.724997043609619,0.0948542469769084,31.739879219868453,3.740276013541797
Bang 3.4,20,0.2,FKG-UM,Du lieu dang bang full,table,5,13.0,90.066,2.4076814573360816,26.99999999999999,24.62854232294125,95.58795469373153,2.15297494512674,26.92406692406692,22.59205320163431,75.12881858376382,9.36815826132429,23.52034896950753,10.56108166764445,4.074728506625979,1.03164128653142,7.930140638351441,0.7647912935132943,9.055383110046389,0.8311396726945356,12.00486914497742,1.3337420509706877
Bang 3.4,20,0.2,FKG-UM,Du lieu anh,image,5,7.0,66.226,4.992647594212916,37.94736842105263,19.23610409701052,68.68074128955163,5.7784059474608,15.12269745320592,6.8049016816421695,53.90072598627139,14.274630111237599,12.909472154061941,3.67263400460208,2.5834781818499324,0.1157144070650496,4.8155104637146,0.1952471083855781,4.882662630081176,0.1983836507420599,7.398988645564532,0.1578813454871835
Bang 3.4,20,0.2,FKG-MM,Du lieu anh+bang,fusion,5,16.0,91.64,0.6155079203389672,6.21052631578947,8.66545023070532,99.10111540024492,0.44691295771608,9.79020979020979,12.57769632769577,69.40720360986504,5.74575975578756,15.29681498063438,2.68433270227117,6.264137020340423,1.7999545544069004,13.82908239364624,0.9576367070160255,15.924196767807008,0.9775132820926654,20.093219413986663,1.7947733428066988
Bang 3.4,20,0.2,FKG-MM,Fusion Filter,fusion_filter,5,16.0,91.886,0.4778912010070952,4.1578947368421,2.32712536520359,99.54954589351847,0.31851979969603,7.54112554112554,4.23229641888042,65.07784970762383,3.09423122829167,13.06547393645845,1.56457138728648,6.519957961339969,0.1717652026234777,15.815016651153565,1.0523933693926568,18.259811639785767,1.0725969415879095,22.33497461249353,1.0531043614774
