,'Contrast Feature','Dissimilarity Feature','Homogeneity Feature','Energy Feature','Correlation Feature','ASM Feature','Mean Feature','Variance Feature','Standard Deviation Feature','RMS Feature',diagnostic
833,0.069222,0.176953,0.769771,0.385367,0.845978,0.220279,0.14414,0.024845,0.156773,0.525839,3
1994,0.16523,0.347341,0.569007,0.277226,0.689653,0.137544,0.005763,2.8e-05,0.004343,0.088138,1
443,0.443695,0.690285,0.221724,0.037551,0.847559,0.012377,0.0043,7e-06,0.00175,0.037278,3
1551,0.032745,0.092464,0.87719,0.434853,0.943927,0.263409,0.010724,0.000162,0.011766,0.235999,5
2249,0.045572,0.119467,0.84372,0.335256,0.956284,0.1798,0.118234,0.015806,0.124838,0.504902,1
1370,0.053209,0.124282,0.841355,0.417601,0.940382,0.248021,0.161492,0.034593,0.185169,0.546088,3
757,0.098401,0.242656,0.686874,0.374375,0.727778,0.211257,0.004589,4.8e-05,0.006029,0.120353,1
2154,0.361353,0.502472,0.453348,0.096743,0.864929,0.035655,0.5128,0.089318,0.298152,1.0,3
1031,0.038555,0.090396,0.884426,0.450691,0.940185,0.278,0.021347,0.000762,0.026636,0.315795,1
1629,0.132836,0.281899,0.649193,0.177408,0.903735,0.075703,0.062795,0.002022,0.044012,0.479835,4
1026,0.021357,0.060855,0.919027,0.601739,0.857409,0.434621,0.229297,0.090193,0.299614,0.49912,1
2113,0.197498,0.401211,0.507303,0.263027,0.679964,0.127966,0.033315,0.000896,0.028973,0.396127,1
581,0.665218,0.839099,0.131849,0.119487,0.196307,0.046208,0.006327,2.4e-05,0.004002,0.082005,1
2160,0.046454,0.125966,0.834068,0.440812,0.893154,0.268978,0.002457,2e-05,0.003571,0.07106,4
1377,0.036776,0.097468,0.872156,0.377493,0.942774,0.213588,0.040638,0.002034,0.044142,0.360093,5
543,0.026374,0.075204,0.899923,0.776154,0.685437,0.655053,0.148612,0.035913,0.188687,0.470798,3
207,0.021328,0.060192,0.920061,0.841309,0.865617,0.748203,0.020407,0.001383,0.036232,0.21265,4
206,0.02944,0.08341,0.889142,0.309316,0.973256,0.160275,0.048104,0.001692,0.040175,0.406077,1
784,0.087372,0.209979,0.730693,0.268896,0.907496,0.131854,0.070223,0.003884,0.061378,0.410368,1
309,0.100379,0.243015,0.687625,0.144237,0.957425,0.058101,0.04322,0.000918,0.029331,0.439396,2
1438,0.025245,0.071858,0.904408,0.70196,0.693717,0.556085,0.139049,0.022503,0.14915,0.454881,1
1458,0.075128,0.18818,0.756212,0.429041,0.737544,0.25831,0.020989,0.000534,0.02215,0.307988,1
938,0.302504,0.528042,0.381295,0.078117,0.854789,0.027918,0.007462,2.4e-05,0.003961,0.082232,5
1757,0.022067,0.059523,0.921624,0.42374,0.934914,0.253421,0.152204,0.035247,0.18692,0.456619,1
2210,0.246219,0.420762,0.508368,0.195867,0.822268,0.085987,0.024106,0.0004,0.019027,0.278869,1
183,0.029101,0.082522,0.890303,0.535489,0.835298,0.36207,0.052723,0.003659,0.059546,0.375083,1
1169,0.048623,0.12018,0.844814,0.388029,0.909283,0.22241,0.032132,0.001345,0.035716,0.326101,3
872,0.035045,0.097344,0.871136,0.274553,0.974342,0.135535,0.049724,0.002285,0.046843,0.422955,1
597,0.03467,0.092431,0.878646,0.441131,0.915851,0.269164,0.142458,0.029063,0.169642,0.470029,1
1993,0.262356,0.510934,0.381253,0.135443,0.733153,0.053861,0.008205,2.8e-05,0.004332,0.089999,1
2217,0.046607,0.129764,0.828136,0.517182,0.784466,0.343268,0.009954,9.6e-05,0.008829,0.178136,4
1245,0.016791,0.048144,0.935863,0.958216,0.502438,0.930338,0.038583,0.00426,0.064325,0.271935,3
1592,0.106311,0.2624,0.661373,0.350103,0.728594,0.191893,0.015391,0.0003,0.016353,0.250349,1
2126,0.012745,0.03657,0.951274,0.539071,0.925397,0.365779,0.335268,0.141813,0.37595,0.633615,1
1878,0.031899,0.088661,0.882613,0.429165,0.939337,0.25829,0.031393,0.000988,0.030473,0.369836,1
