0,1,2,3,4,5,6,7,8,9
Medium,Very Low,Low,Medium,High,Low,Low,High,Low,5.0
Low,Very Low,Low,Medium,Low,Low,Low,Low,Low,5.0
Low,High,High,Low,Low,Low,Low,High,High,1.0
High,Medium,Low,Medium,High,Low,High,High,High,1.0
High,Medium,High,High,High,High,High,Low,High,1.0
High,Low,Low,High,Low,High,Low,High,High,1.0
Medium,High,Low,Low,Low,Medium,Low,High,High,1.0
Low,Medium,High,Medium,High,Medium,Low,High,Low,5.0
High,Medium,High,Low,High,Low,High,High,High,1.0
Medium,Medium,High,Low,Low,Low,Low,High,High,2.0
High,Very Low,High,Medium,High,Medium,High,High,High,1.0
High,Very High,High,Low,Low,Low,Low,High,Low,3.0
Low,Medium,Low,Medium,Low,Medium,High,High,High,1.0
Medium,Very High,Low,Low,High,Low,Low,Low,Low,3.0
Low,Medium,High,High,High,High,High,Low,High,1.0
High,Very Low,High,Low,Low,Low,Low,Low,Low,3.0
High,Very Low,High,Medium,Low,Low,High,Low,High,1.0
Low,Very High,Low,High,High,High,Low,High,High,5.0
Low,Medium,High,Low,Low,Low,Low,Low,High,5.0
Medium,Very Low,Low,High,Low,High,High,High,High,1.0
High,Very High,Low,Medium,Low,High,Low,Low,High,6.0
High,High,High,Low,High,Low,Low,High,High,3.0
High,Low,High,Medium,High,Medium,High,Low,High,1.0
Medium,Medium,High,Medium,High,Low,High,High,High,1.0
Low,Very High,High,Low,Low,Low,Low,Low,Low,3.0
High,Very Low,High,High,Low,High,High,High,High,1.0
High,Low,High,Low,High,Low,High,High,High,3.0
High,High,High,Low,High,Low,High,High,Low,3.0
Medium,High,High,Medium,Low,Low,Low,Low,Low,3.0
Medium,Medium,Low,Medium,Low,Low,Low,High,Low,5.0
High,Medium,High,Low,Low,Low,High,Low,Low,3.0
Low,Very Low,High,Low,High,Low,Low,Low,Low,3.0
Low,High,Low,High,Low,High,Low,Low,High,5.0
Medium,Very High,Low,Medium,Low,Low,Low,High,Low,5.0
Low,Medium,High,Low,Low,Low,High,High,High,1.0
Low,High,Low,Medium,Low,Low,Low,Low,Low,5.0
Medium,Low,High,High,High,High,High,High,High,1.0
