Bảng,Mô hình,Dữ liệu/chiến lược,ran,epsilon,Acc (%),F1 (%),AUC-ROC (%),Spec (%),Sens (%),Nguồn,Acc (%) mean,Acc (%) std,F1 (%) mean,F1 (%) std,AUC-ROC (%) mean,AUC-ROC (%) std,Spec (%) mean,Spec (%) std,Sens (%) mean,Sens (%) std
Bang 3.2,FKG-UM,Du lieu dang bang full,15,0.2,91.1 ± 1.0,24.0 ± 17.9,72.2 ± 8.4,97.1 ± 2.3,21.4 ± 17.4,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,91.06,1.036,24.042,17.934,72.211,8.383,97.117,2.265,21.421,17.434
Bang 3.2,FKG-UM,Du lieu anh,15,0.2,70.6 ± 10.8,15.1 ± 7.9,55.6 ± 9.6,73.5 ± 13.7,36.8 ± 25.9,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,70.62,10.81,15.143,7.921,55.559,9.627,73.533,13.684,36.789,25.916
Bang 3.2,FKG-MM,Du lieu anh+bang,15,0.2,91.6 ± 0.4,10.2 ± 8.3,65.4 ± 7.2,99.1 ± 0.6,6.2 ± 5.8,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,91.642,0.444,10.157,8.258,65.383,7.244,99.102,0.633,6.211,5.791
Bang 3.2,FKG-MM,Fusion Filter,15,0.2,91.6 ± 0.6,5.5 ± 5.0,61.7 ± 4.5,99.3 ± 0.7,3.1 ± 2.8,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,91.556,0.612,5.485,5.042,61.651,4.462,99.281,0.679,3.105,2.837
Bang 3.2,FKG-MM,Fusion Hadamard,15,0.2,76.1 ± 7.2,16.8 ± 8.6,57.5 ± 7.7,80.0 ± 8.5,30.9 ± 16.2,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,76.074,7.209,16.847,8.643,57.504,7.655,80.018,8.466,30.947,16.245
Bang 3.2,FKG-MM,Fusion Tensor,15,0.2,91.6 ± 0.6,0.0 ± 0.0,50.2 ± 0.4,99.6 ± 0.6,0.0 ± 0.0,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,91.64,0.558,0.0,0.0,50.225,0.421,99.639,0.587,0.0,0.0
Bang 3.2,FKG-MM,Fusion Wrapper,15,0.2,80.1 ± 7.4,25.2 ± 12.7,65.9 ± 12.5,83.8 ± 8.0,38.0 ± 15.0,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,80.14,7.443,25.191,12.731,65.865,12.534,83.817,7.994,38.0,14.972
Bang 3.3,FKG-UM,Du lieu dang bang full,15,0.3,90.5 ± 1.8,23.8 ± 18.2,73.6 ± 7.7,96.3 ± 3.4,23.8 ± 24.5,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,90.482,1.756,23.8,18.217,73.596,7.693,96.311,3.438,23.789,24.538
Bang 3.3,FKG-UM,Du lieu anh,15,0.3,65.2 ± 3.9,14.9 ± 6.3,56.7 ± 11.4,67.4 ± 5.0,39.1 ± 19.3,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,65.15,3.919,14.899,6.258,56.664,11.409,67.414,5.033,39.053,19.303
Bang 3.3,FKG-MM,Du lieu anh+bang,15,0.3,91.6 ± 0.5,3.6 ± 4.9,60.7 ± 6.8,99.4 ± 0.7,2.1 ± 2.8,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,91.558,0.473,3.571,4.908,60.671,6.779,99.371,0.68,2.053,2.812
Bang 3.3,FKG-MM,Fusion Filter,15,0.3,91.6 ± 0.3,8.6 ± 8.5,58.3 ± 2.9,99.2 ± 0.5,5.2 ± 5.1,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,91.64,0.335,8.551,8.519,58.327,2.932,99.19,0.492,5.158,5.135
Bang 3.3,FKG-MM,Fusion Hadamard,15,0.3,74.1 ± 7.8,16.4 ± 4.6,57.8 ± 5.3,77.7 ± 9.4,32.9 ± 13.8,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,74.094,7.773,16.436,4.558,57.83,5.267,77.674,9.38,32.895,13.843
Bang 3.3,FKG-MM,Fusion Tensor,15,0.3,92.1 ± 0.2,1.9 ± 4.3,50.9 ± 1.1,100.0 ± 0.0,1.0 ± 2.2,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,92.054,0.198,1.905,4.259,50.903,1.096,100.0,0.0,1.0,2.236
Bang 3.3,FKG-MM,Fusion Wrapper,15,0.3,78.4 ± 7.1,18.8 ± 9.2,59.3 ± 11.1,82.7 ± 7.7,28.8 ± 10.6,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,78.398,7.095,18.833,9.206,59.334,11.118,82.733,7.7,28.789,10.562
Bang 3.4,FKG-UM,Du lieu dang bang full,20,0.2,90.1 ± 2.4,26.9 ± 22.6,75.1 ± 9.4,95.6 ± 2.2,27.0 ± 24.6,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,90.066,2.408,26.924,22.592,75.129,9.368,95.588,2.153,27.0,24.629
Bang 3.4,FKG-UM,Du lieu anh,20,0.2,66.2 ± 5.0,15.1 ± 6.8,53.9 ± 14.3,68.7 ± 5.8,37.9 ± 19.2,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,66.226,4.993,15.123,6.805,53.901,14.275,68.681,5.778,37.947,19.236
