Nhóm,Mô hình,Dữ liệu/chiến lược,ran,epsilon,Acc (%),F1 (%),AUC-ROC (%),Spec (%),Sens (%),Nguồn,Acc (%) mean,Acc (%) std,F1 (%) mean,F1 (%) std,AUC-ROC (%) mean,AUC-ROC (%) std,Spec (%) mean,Spec (%) std,Sens (%) mean,Sens (%) std
Baseline,MLP,Tabular,,,86.0 ± 5.9,49.2 ± 10.1,92.6 ± 2.4,86.6 ± 6.8,79.5 ± 11.9,result/diabetic_retinopathy_model_comparison_kfold_rerun_20260921.csv,86.014,5.859,49.247,10.13,92.645,2.388,86.594,6.786,79.474,11.855
Baseline,ResNet-50,Image,,,69.6 ± 11.4,23.7 ± 6.2,73.0 ± 4.4,70.8 ± 13.7,55.8 ± 18.4,result/diabetic_retinopathy_model_comparison_kfold_rerun_20260921.csv,69.552,11.444,23.744,6.194,73.036,4.443,70.774,13.744,55.789,18.411
Fusion baseline,Early Fusion (MLP),Multimodal,,,88.6 ± 3.1,48.7 ± 4.8,89.2 ± 3.8,90.6 ± 3.8,66.1 ± 5.2,result/diabetic_retinopathy_model_comparison_kfold_rerun_20260921.csv,88.579,3.105,48.72,4.794,89.225,3.849,90.555,3.751,66.053,5.243
Fusion baseline,Late Fusion (Ensemble),Multimodal,,,86.8 ± 5.8,49.1 ± 9.8,90.9 ± 2.4,87.9 ± 7.6,74.1 ± 18.7,result/diabetic_retinopathy_model_comparison_kfold_rerun_20260921.csv,86.847,5.803,49.128,9.758,90.885,2.354,87.948,7.571,74.053,18.728
FKG-UM native,FKG-UM (Bảng),Unimodal FKG,,,89.8 ± 2.8,37.3 ± 19.9,80.6 ± 6.2,94.2 ± 2.9,40.4 ± 24.8,result/diabetic_retinopathy_model_comparison_kfold_rerun_20260921.csv,89.817,2.786,37.261,19.868,80.568,6.226,94.151,2.87,40.421,24.809
FKG-UM native,FKG-UM (Ảnh),Unimodal FKG,,,74.3 ± 5.5,16.0 ± 7.3,58.6 ± 8.7,77.9 ± 7.4,33.0 ± 20.6,result/diabetic_retinopathy_model_comparison_kfold_rerun_20260921.csv,74.259,5.503,15.953,7.271,58.557,8.733,77.868,7.437,33.0,20.595
FKG-MM native / 5 fusion strategies,FKG-MM (đề xuất),Multimodal FKG,,,91.7 ± 0.3,16.6 ± 12.9,80.7 ± 6.6,98.7 ± 0.9,11.4 ± 10.2,result/diabetic_retinopathy_model_comparison_kfold_rerun_20260921.csv,91.722,0.281,16.618,12.91,80.729,6.557,98.742,0.861,11.421,10.181
FKG-MM native / 5 fusion strategies,FKG-MM (Filter),Multimodal FKG,,,91.7 ± 0.6,19.7 ± 11.9,76.0 ± 4.7,98.6 ± 0.9,13.5 ± 9.7,result/diabetic_retinopathy_model_comparison_kfold_rerun_20260921.csv,91.723,0.639,19.705,11.875,76.035,4.699,98.562,0.861,13.526,9.665
FKG-MM native / 5 fusion strategies,FKG-MM (Hadamard),Multimodal FKG,,,62.7 ± 15.1,16.8 ± 4.2,56.4 ± 9.5,64.3 ± 17.1,44.5 ± 12.3,result/diabetic_retinopathy_model_comparison_kfold_rerun_20260921.csv,62.688,15.109,16.761,4.212,56.369,9.5,64.286,17.142,44.474,12.287
FKG-MM native / 5 fusion strategies,FKG-MM (Tensor),Multimodal FKG,,,91.6 ± 0.6,3.5 ± 7.8,55.7 ± 3.8,99.5 ± 0.6,2.1 ± 4.7,result/diabetic_retinopathy_model_comparison_kfold_rerun_20260921.csv,91.638,0.557,3.478,7.778,55.742,3.762,99.46,0.587,2.105,4.708
